inst;NR;NT;NW;capacity;balanced;fixsizerf;freeintervalrf;maxtimerf;bestsol;elapsedtime
instances/N50T30/N50T30P1W5SD_DF3.dat;50;30;5;1.5;0;3;4;120;900153.7094670001;10.903577527000001
instances/N50T30/N50T30P1W10DD_DF10.dat;50;30;10;1.5;0;3;4;120;999251.7753119998;52.701772504000004
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;1.5;0;3;4;120;481715.75052399916;46.386446803
instances/N100T15/N100T15P1W10SD_SF9.dat;100;15;10;1.5;0;3;4;120;650399.2524759998;55.991606589999996
instances/N100T30/N100T30P1W10SD_DF6.dat;100;30;10;1.5;0;3;4;120;1.0895989538639998e6;77.25055595699999
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;1.5;0;3;4;120;1.196263117198999e6;99.518109535
instances/N200T30/N200T30P1W5SD_SF9.dat;200;30;5;1.5;0;3;4;120;1.3502707861599994e6;102.635857959
instances/N200T30/N200T30P1W15DD_DF1.dat;200;30;15;1.5;0;3;4;120;1.347069934028396e6;100.25782899599999
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;1.5;0;4;2;120;541382.6695970001;19.992465675000002
instances/N50T15/N50T15P1W20SD_SF1.dat;50;15;20;1.5;0;4;2;120;686431.3873349997;46.627722481
instances/N50T30/N50T30P1W5SD_DF3.dat;50;30;5;1.5;0;4;2;120;904135.6088730004;7.339555235000001
instances/N50T30/N50T30P1W10DD_DF10.dat;50;30;10;1.5;0;4;2;120;992835.5501139998;13.762577082999998
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;1.5;0;4;2;120;482486.7744259991;22.244538785
instances/N100T15/N100T15P1W10SD_SF9.dat;100;15;10;1.5;0;4;2;120;653063.9426889999;38.055348297
instances/N100T30/N100T30P1W10SD_DF6.dat;100;30;10;1.5;0;4;2;120;1.0940142186569993e6;67.710918245
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;1.5;0;4;2;120;1.192648945588999e6;86.222467906
instances/N200T30/N200T30P1W5SD_SF9.dat;200;30;5;1.5;0;4;2;120;1.3440334698949992e6;77.214965336
instances/N200T30/N200T30P1W15DD_DF1.dat;200;30;15;1.5;0;4;2;120;1.3506227982679934e6;94.597886601
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;1.5;0;4;3;120;537916.194467;29.637386972999998
instances/N50T15/N50T15P1W20SD_SF1.dat;50;15;20;1.5;0;4;3;120;689004.8481419999;52.719555479
