inst;NR;NT;NW;capacity;balanced;fixsizerf;freeintervalrf;maxtimerf;bestsol;elapsedtime
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;1.5;1;4;4;120;550069.833224;60.44566906
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;1.5;1;4;4;120;513917.9758089991;64.02134801
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;1.5;1;4;4;120;1.266322310438998e6;93.04805981700001
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;1.75;1;2;2;120;505045.3379719962;17.462541571
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;1.75;1;2;2;120;478937.5703400001;7.684809264
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;1.75;1;2;2;120;1.198800330119e6;74.814886056
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;1.75;1;2;3;120;506525.2160129999;40.0283072
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;1.75;1;2;3;120;473340.04373299953;12.595888047
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;1.75;1;2;3;120;1.1928213608066663e6;99.48303120600002
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;1.75;1;2;4;120;504299.83792166645;54.207572011
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;1.75;1;2;4;120;473277.19309533254;16.510301059
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;1.75;1;2;4;120;1.1855807750836639e6;98.12537105599998
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;1.75;1;3;2;120;507504.2578793333;32.745040577000005
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;1.75;1;3;2;120;473409.7336489999;8.443881076999999
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;1.75;1;3;2;120;1.1978662027249988e6;101.90844296300001
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;1.75;1;3;3;120;504926.5183696667;38.867811901
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;1.75;1;3;3;120;477767.19562166557;16.160494056
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;1.75;1;3;3;120;1.1901351296179993e6;98.47956081400001
