instance;form;heursol;bestbound;bestsol;gap;time;numnodes;percfixed
instances/N200T15/N200T15P1W5SD_DF4.dat;randdpheurmc;415464.65018500003;382711.61639799934;382711.6163979999;1.520927466516577e-13;23.76428198814392;0;56.56666666666666 
instances/N200T15/N200T15P1W5SD_DF5.dat;randdpheurmc;414978.8575559999;383938.0038950001;383938.0038950001;0.0;26.52111315727234;0;57.371428571428574 
instances/N200T15/N200T15P1W5DD_SF1.dat;randdpheurmc;421823.55958000006;389552.669416;389552.669416;0.0;110.0479109287262;5;53.261904761904766 
instances/N200T15/N200T15P1W5DD_SF2.dat;randdpheurmc;423795.2657679998;392510.9691469999;392510.9691469999;0.0;103.61916279792786;5;53.72857142857143 
instances/N200T15/N200T15P1W5DD_SF3.dat;randdpheurmc;438123.24189599993;401312.2013760001;401312.2013760001;0.0;84.67203688621521;3;52.76666666666666 
instances/N200T15/N200T15P1W5DD_SF4.dat;randdpheurmc;441973.68579799996;409828.7824439975;409828.7824439975;0.0;116.84490704536438;5;52.95238095238095 
instances/N200T15/N200T15P1W5DD_SF5.dat;randdpheurmc;431204.03404199996;400187.51312200015;400187.51312200015;0.0;99.3805079460144;5;55.2047619047619 
instances/N200T15/N200T15P1W5DD_DF1.dat;randdpheurmc;403273.27007800026;378127.83105599985;378127.83105599985;0.0;50.30340909957886;1;62.16666666666667 
instances/N200T15/N200T15P1W5DD_DF2.dat;randdpheurmc;409489.59144800005;382325.267744;382325.267744;0.0;51.37054800987244;1;62.96666666666667 
instances/N200T15/N200T15P1W5DD_DF3.dat;randdpheurmc;389935.4041500002;365416.1595860001;365416.1595860001;0.0;21.52934718132019;0;60.13333333333334 
instances/N200T15/N200T15P1W5DD_DF4.dat;randdpheurmc;391992.6532060001;365944.4742999996;365944.4743;1.113430192309019e-13;15.942363023757935;0;61.45238095238095 
instances/N200T15/N200T15P1W5DD_DF5.dat;randdpheurmc;403481.2524440002;376180.45207600005;376180.45207600005;0.0;45.315744161605835;1;62.847619047619055 
instances/N200T15/N200T15P1W10SD_SF1.dat;randdpheurmc;512534.43540800025;464423.22781000036;464423.22781000036;0.0;69.61373400688171;0;49.871428571428574 
instances/N200T15/N200T15P1W10SD_SF2.dat;randdpheurmc;499610.06558000005;448500.1610100004;448500.1610100004;0.0;74.2443950176239;0;44.952380952380956 
instances/N200T15/N200T15P1W10SD_SF3.dat;randdpheurmc;471352.46439899993;423470.5477559975;423470.5477559998;5.360700496538996e-13;78.38136291503906;0;47.24285714285714 
instances/N200T15/N200T15P1W10SD_SF4.dat;randdpheurmc;465441.266335;416729.45329799864;416729.45329800027;3.9109654781506855e-13;54.26913785934448;0;42.76190476190476 
instances/N200T15/N200T15P1W10SD_SF5.dat;randdpheurmc;478005.88456599985;430335.09049200057;430335.0904920006;1.3526124687372993e-14;64.34703588485718;0;44.952380952380956 
instances/N200T15/N200T15P1W10SD_DF1.dat;randdpheurmc;452772.46482300013;415483.7463159984;415483.7463159998;3.362306887597787e-13;23.025145769119263;0;57.34761904761905 
instances/N200T15/N200T15P1W10SD_DF2.dat;randdpheurmc;458144.23318900005;419805.940251;419805.940251;0.0;15.76451587677002;0;57.480952380952374 
instances/N200T15/N200T15P1W10SD_DF3.dat;randdpheurmc;456619.85165200004;422595.6646449998;422595.6646449998;0.0;25.013442993164062;0;55.74761904761905 
instances/N200T15/N200T15P1W10SD_DF4.dat;randdpheurmc;460216.059206;422353.4826800001;422353.4826800001;0.0;22.447104930877686;0;56.93333333333334 
instances/N200T15/N200T15P1W10SD_DF5.dat;randdpheurmc;475280.49727399985;431912.1576579979;431912.1576579999;4.582090214336979e-13;20.366080045700073;0;59.423809523809524 
instances/N200T15/N200T15P1W10DD_SF1.dat;randdpheurmc;463772.68226200005;419543.9818530001;419543.98185300024;2.774806143393195e-14;55.28227686882019;0;54.99523809523809 
instances/N200T15/N200T15P1W10DD_SF2.dat;randdpheurmc;477331.8548089999;430172.9991130001;430172.9991130001;0.0;37.28937101364136;0;53.542857142857144 
instances/N200T15/N200T15P1W10DD_SF3.dat;randdpheurmc;478574.5729070001;430692.8735799998;430692.8735799998;0.0;32.706177949905396;0;52.59047619047619 
instances/N200T15/N200T15P1W10DD_SF4.dat;randdpheurmc;503358.359582;458933.22562800016;458933.2256280002;1.2683252739833022e-14;79.53585410118103;0;52.58571428571429 
