instance;form;bestbound;bestsol;gap;time;numnodes;disablesolver
instances/N50T30/N50T30P1W5SD_SF1.dat;std;340481.0095500543;389414.780500983;12.565976794197507;3600.0064568519592;36652;0 
instances/N50T30/N50T30P1W5SD_SF2.dat;std;290716.0521154641;333788.51147599175;12.904116792415632;3600.0037729740143;38439;0 
instances/N50T30/N50T30P1W5SD_SF3.dat;std;297248.0510770812;364899.8701239916;18.539830947027358;3600.0103738307953;31078;0 
instances/N50T30/N50T30P1W5SD_SF4.dat;std;338930.2837852331;405686.78562099056;16.455182717763982;3600.0199840068817;36411;0 
instances/N50T30/N50T30P1W5SD_SF5.dat;std;333353.64570759534;389652.9135429902;14.448568425546602;3600.0072090625763;38772;0 
instances/N50T30/N50T30P1W5SD_DF1.dat;std;301113.5583938027;331512.86352799536;9.16987196535301;3600.003101825714;41470;0 
instances/N50T30/N50T30P1W5SD_DF2.dat;std;316027.3313912869;355365.49657199637;11.069776205113264;3600.0039360523224;32446;0 
instances/N50T30/N50T30P1W5SD_DF3.dat;std;303685.75605488184;343680.3003019944;11.637136086057021;3600.008558988571;32561;0 
instances/N50T30/N50T30P1W5SD_DF4.dat;std;304304.3396678612;335335.5994459981;9.253792269416994;3600.006777048111;44175;0 
instances/N50T30/N50T30P1W5SD_DF5.dat;std;320785.14950155397;338372.17226099403;5.197538155080554;3600.0133650302887;266220;0 
instances/N50T30/N50T30P1W5DD_SF1.dat;std;318792.72819228395;383413.55660799786;16.854080222776858;3600.006849050522;27905;0 
instances/N50T30/N50T30P1W5DD_SF2.dat;std;300623.0961466949;356980.749632992;15.787308851874448;3600.0056068897247;26402;0 
instances/N50T30/N50T30P1W5DD_SF3.dat;std;335978.8432115069;395254.82236599404;14.996902200879253;3600.007170200348;25335;0 
instances/N50T30/N50T30P1W5DD_SF4.dat;std;302636.6502417347;363543.28135899175;16.75361208425496;3600.0040719509125;28422;0 
instances/N50T30/N50T30P1W5DD_SF5.dat;std;286635.51138151967;360206.91570298985;20.424761745033734;3600.002203941345;23982;0 
instances/N50T30/N50T30P1W5DD_DF1.dat;std;322711.3910087882;348421.7666269921;7.37909570550123;3600.0122439861298;32307;0 
instances/N50T30/N50T30P1W5DD_DF2.dat;std;302785.23307947867;342502.1617979915;11.596110374899752;3600.0069971084595;25980;0 
instances/N50T30/N50T30P1W5DD_DF3.dat;std;283691.68204462796;340394.63294760935;16.658003803399755;3600.003144979477;31856;0 
instances/N50T30/N50T30P1W5DD_DF4.dat;std;312420.9653858181;333507.9724479943;6.322789499571678;3600.009469985962;83862;0 
instances/N50T30/N50T30P1W5DD_DF5.dat;std;291369.6537210003;337947.6769880537;13.782613830098892;3600.004716873169;28661;0 
instances/N50T30/N50T30P1W10SD_SF1.dat;std;407683.6335866265;459634.20988299063;11.30259131703648;3600.013824939728;32683;0 
instances/N50T30/N50T30P1W10SD_SF2.dat;std;367436.4570716454;410193.9205299964;10.42371944545293;3600.007086992264;43586;0 
instances/N50T30/N50T30P1W10SD_SF3.dat;std;366424.5881509741;410848.4741099974;10.812717767847817;3600.006068944931;31727;0 
instances/N50T30/N50T30P1W10SD_SF4.dat;std;397923.62796282413;450243.10904299427;11.620273587612886;3600.004956007004;34579;0 
instances/N50T30/N50T30P1W10SD_SF5.dat;std;392986.27424475714;429459.25148842816;8.49276785102714;3600.012297153473;38691;0 
instances/N50T30/N50T30P1W10SD_DF1.dat;std;346783.1706511011;391032.08010799834;11.315928208416103;3600.0162270069122;29790;0 
instances/N50T30/N50T30P1W10SD_DF2.dat;std;371163.632073671;422412.1870669958;12.132357105785074;3600.004919052124;33742;0 
instances/N50T30/N50T30P1W10SD_DF3.dat;std;352561.4987098419;408024.7685929991;13.593113495146973;3600.0046939849854;24462;0 
instances/N50T30/N50T30P1W10SD_DF4.dat;std;330898.3983144509;373670.7538949968;11.446535522168556;3600.008759021759;32281;0 
instances/N50T30/N50T30P1W10SD_DF5.dat;std;335514.2652100741;378354.8304851692;11.32285405743601;3600.002634048462;26833;0 
instances/N50T30/N50T30P1W10DD_SF1.dat;std;354440.38607038115;406346.550941001;12.77386623570881;3600.0024359226227;25770;0 
instances/N50T30/N50T30P1W10DD_SF2.dat;std;372128.3728432075;416958.5012276671;10.751700289708568;3600.0087361335754;33595;0 
instances/N50T30/N50T30P1W10DD_SF3.dat;std;354749.9664041742;407957.33981599304;13.04238659753437;3600.004842042923;32389;0 
instances/N50T30/N50T30P1W10DD_SF4.dat;std;378176.1534146198;422081.8790509968;10.402182092037222;3600.0113310813904;34858;0 
instances/N50T30/N50T30P1W10DD_SF5.dat;std;346059.69081703573;395954.89469700295;12.601234268905449;3600.004196882248;30718;0 
instances/N50T30/N50T30P1W10DD_DF1.dat;std;366892.94580316433;388754.36566899496;5.623453212727272;3600.0081691741943;120914;0 
instances/N50T30/N50T30P1W10DD_DF2.dat;std;356489.45932053175;390325.66198499687;8.668710761263167;3600.0018861293793;28322;0 
instances/N50T30/N50T30P1W10DD_DF3.dat;std;373341.79368049034;402820.4576125881;7.318065250908592;3600.004184961319;55022;0 
instances/N50T30/N50T30P1W10DD_DF4.dat;std;342050.92650863965;390996.10743999365;12.518073709689205;3600.009162902832;39589;0 
instances/N50T30/N50T30P1W10DD_DF5.dat;std;339258.17912345874;396735.5230119962;14.487571834297148;3600.009593963623;28934;0 
instances/N50T30/N50T30P1W15SD_SF1.dat;std;404618.3631520736;425754.16944899247;4.9643216235022845;3600.006637096405;48616;0 
instances/N50T30/N50T30P1W15SD_SF2.dat;std;442215.35179284017;466962.1877439913;5.299537435934411;3600.013468980789;73418;0 
instances/N50T30/N50T30P1W15SD_SF3.dat;std;408644.3073188496;469615.47144999914;12.983210272628604;3600.0127890110016;20777;0 
instances/N50T30/N50T30P1W15SD_SF4.dat;std;405731.03665193374;426824.80840999325;4.942021021842187;3600.007936000824;47591;0 
instances/N50T30/N50T30P1W15SD_SF5.dat;std;434275.1499838406;499054.736897994;12.980457277453768;3600.007446050644;26866;0 
instances/N50T30/N50T30P1W15SD_DF1.dat;std;373876.19945137954;402274.06926883105;7.059333918556365;3600.006986141205;30635;0 
instances/N50T30/N50T30P1W15SD_DF2.dat;std;389034.913622322;425001.9723219968;8.462798067305167;3600.0112130641937;26910;0 
instances/N50T30/N50T30P1W15SD_DF3.dat;std;399569.8946247726;444126.8948710641;10.032493136725485;3600.0183799266815;20963;0 
instances/N50T30/N50T30P1W15SD_DF4.dat;std;400771.7768736672;454840.179669;11.887340919326844;3600.007399082184;20989;0 
instances/N50T30/N50T30P1W15SD_DF5.dat;std;409033.85909061984;440686.22318745876;7.18251727224399;3600.0462172031403;20577;0 
instances/N50T30/N50T30P1W15DD_SF1.dat;std;418739.9892884955;456784.9909469986;8.328864216757397;3600.0043938159943;32667;0 
instances/N50T30/N50T30P1W15DD_SF2.dat;std;437365.02017845906;470192.21247799747;6.981653763794429;3600.013496875763;37528;0 
instances/N50T30/N50T30P1W15DD_SF3.dat;std;413249.73598385317;453633.41334999667;8.902271344590273;3600.0027208328247;28265;0 
instances/N50T30/N50T30P1W15DD_SF4.dat;std;414839.5082438667;450126.8051429941;7.8394124713185045;3600.0041680336;31483;0 
instances/N50T30/N50T30P1W15DD_SF5.dat;std;387754.8412050565;443024.5448629955;12.47553985412502;3600.012955904007;26183;0 
instances/N50T30/N50T30P1W15DD_DF1.dat;std;397608.6518233889;439435.5650459973;9.518326815042899;3600.004329919815;21967;0 
instances/N50T30/N50T30P1W15DD_DF2.dat;std;395955.2422131445;433911.19277999527;8.747400665945825;3600.008537054062;38859;0 
