instance;form;bestbound;bestsol;gap;time;numnodes;disablesolver 
instances/N50T15/N50T15P1W5SD_SF1.dat;bc3level;194227.32414399958;194227.32414400016;2.996883222790643e-13;3.467617988586426;1;0 
instances/N50T15/N50T15P1W5SD_SF2.dat;bc3level;195714.12813799997;195714.12813800003;2.9741164558352473e-14;5.628454208374023;1;0 
instances/N50T15/N50T15P1W5SD_SF3.dat;bc3level;186219.05964399976;186219.05964400075;5.313796758616726e-13;6.745869159698486;35;0 
instances/N50T15/N50T15P1W5SD_SF4.dat;bc3level;176429.51949199982;176429.51949200017;1.9795211509185134e-13;5.918762922286987;7;0 
instances/N50T15/N50T15P1W5SD_SF5.dat;bc3level;182092.2331789998;182092.23317900003;1.2786412665113114e-13;6.959292888641357;70;0 
instances/N50T15/N50T15P1W5SD_DF1.dat;bc3level;174530.7450629996;174530.74506300074;6.503435182167435e-13;2.972391128540039;1;0 
instances/N50T15/N50T15P1W5SD_DF2.dat;bc3level;168653.42423199938;168653.42423199938;0.0;3.9788360595703125;1;0 
instances/N50T15/N50T15P1W5SD_DF3.dat;bc3level;175163.4658149999;175163.46581499997;4.9845720375512386e-14;5.742521047592163;11;0 
instances/N50T15/N50T15P1W5SD_DF4.dat;bc3level;191596.09278199996;191596.09278199996;0.0;9.76618218421936;117;0 
instances/N50T15/N50T15P1W5SD_DF5.dat;bc3level;178671.30116399977;178671.30116399977;0.0;5.987901210784912;1;0 
instances/N50T15/N50T15P1W5DD_SF1.dat;bc3level;175931.13921099974;175931.1392110034;2.084385205481062e-12;4.16099214553833;1;0 
instances/N50T15/N50T15P1W5DD_SF2.dat;bc3level;176182.1504059999;176182.1504059999;0.0;8.396635055541992;1;0 
instances/N50T15/N50T15P1W5DD_SF3.dat;bc3level;171012.95756099976;171012.95756100307;1.9401083516634208e-12;4.295367002487183;1;0 
instances/N50T15/N50T15P1W5DD_SF4.dat;bc3level;178146.06225099976;178146.0622510004;3.594153370317035e-13;8.83785104751587;123;0 
instances/N50T15/N50T15P1W5DD_SF5.dat;bc3level;181638.76407900156;181638.76407900156;0.0;8.58134913444519;9;0 
instances/N50T15/N50T15P1W5DD_DF1.dat;bc3level;167883.75667999973;167883.75668;1.5602133243293549e-13;6.3023340702056885;31;0 
instances/N50T15/N50T15P1W5DD_DF2.dat;bc3level;183951.29960299973;183951.29960300046;3.9553716825519764e-13;5.693171977996826;1;0 
instances/N50T15/N50T15P1W5DD_DF3.dat;bc3level;188555.6200829998;188555.6200830011;6.791463121240216e-13;4.555314064025879;1;0 
instances/N50T15/N50T15P1W5DD_DF4.dat;bc3level;174496.36479599975;174496.36479599998;1.334300825842802e-13;8.540142059326172;68;0 
instances/N50T15/N50T15P1W5DD_DF5.dat;bc3level;179017.80182299993;179017.80182300002;4.8772518979161896e-14;6.23844313621521;1;0 
instances/N50T15/N50T15P1W10SD_SF1.dat;bc3level;235276.76844000022;235276.76844000022;0.0;2.9696691036224365;1;0 
instances/N50T15/N50T15P1W10SD_SF2.dat;bc3level;212373.60385599989;212373.6038560001;9.592850029294266e-14;3.838318109512329;1;0 
instances/N50T15/N50T15P1W10SD_SF3.dat;bc3level;218639.75109499937;218639.78205500144;1.4160278508817596e-5;2.943816900253296;1;0 
instances/N50T15/N50T15P1W10SD_SF4.dat;bc3level;245457.53736999966;245457.53737000134;6.877043518716802e-13;2.8256959915161133;1;0 
instances/N50T15/N50T15P1W10SD_SF5.dat;bc3level;223318.43951600284;223318.43951600284;0.0;2.970360040664673;1;0 
instances/N50T15/N50T15P1W10SD_DF1.dat;bc3level;197354.53857799966;197354.53857799986;1.0322884625053483e-13;2.715131998062134;1;0 
instances/N50T15/N50T15P1W10SD_DF2.dat;bc3level;199844.84455400007;199844.84455400007;0.0;4.9541120529174805;1;0 
instances/N50T15/N50T15P1W10SD_DF3.dat;bc3level;199760.21461099957;199760.21461099957;0.0;4.000974893569946;1;0 
instances/N50T15/N50T15P1W10SD_DF4.dat;bc3level;210544.4468489997;210544.44684900076;4.976326434265136e-13;4.232158899307251;6;0 
instances/N50T15/N50T15P1W10SD_DF5.dat;bc3level;213573.1858809995;213573.1858809995;0.0;2.7728068828582764;1;0 
instances/N50T15/N50T15P1W10DD_SF1.dat;bc3level;208749.93748099974;208749.9374810001;1.6730350662384844e-13;4.53016996383667;1;0 
instances/N50T15/N50T15P1W10DD_SF2.dat;bc3level;195870.66035099956;195870.66035100044;4.457609486471268e-13;3.561396837234497;1;0 
instances/N50T15/N50T15P1W10DD_SF3.dat;bc3level;212338.82482700015;212338.82482700015;0.0;4.871426105499268;15;0 
instances/N50T15/N50T15P1W10DD_SF4.dat;bc3level;219982.9467279998;219982.94672800033;2.381407086381785e-13;3.458120822906494;1;0 
instances/N50T15/N50T15P1W10DD_SF5.dat;bc3level;221148.33670899985;221148.33670899988;1.3160320755670097e-14;3.4266250133514404;1;0 
instances/N50T15/N50T15P1W10DD_DF1.dat;bc3level;191211.66914399993;191211.66914399993;0.0;3.368882894515991;1;0 
instances/N50T15/N50T15P1W10DD_DF2.dat;bc3level;208493.2447269996;208493.2447269996;0.0;3.1384289264678955;1;0 
instances/N50T15/N50T15P1W10DD_DF3.dat;bc3level;213265.23681899984;213265.23681899993;4.0940329831768663e-14;3.2355360984802246;1;0 
instances/N50T15/N50T15P1W10DD_DF4.dat;bc3level;195462.823124;195462.823124;0.0;3.273391008377075;1;0 
instances/N50T15/N50T15P1W10DD_DF5.dat;bc3level;211180.32297199953;211180.3229720009;6.477308170647333e-13;2.810724973678589;1;0 
instances/N50T15/N50T15P1W15SD_SF1.dat;bc3level;259772.4310069996;259772.4310069998;7.84251093957104e-14;3.77974009513855;1;0 
instances/N50T15/N50T15P1W15SD_SF2.dat;bc3level;254336.3695509997;254336.36955100152;7.209119647383137e-13;2.9869649410247803;1;0 
instances/N50T15/N50T15P1W15SD_SF3.dat;bc3level;199875.17858599982;199875.17858599997;7.280501426596911e-14;3.5174639225006104;1;0 
instances/N50T15/N50T15P1W15SD_SF4.dat;bc3level;244195.21170699951;244195.21170700085;5.482401524793571e-13;2.7970399856567383;1;0 
instances/N50T15/N50T15P1W15SD_SF5.dat;bc3level;239790.01786999975;239790.01787000013;1.5778379738169789e-13;2.824860095977783;1;0 
instances/N50T15/N50T15P1W15SD_DF1.dat;bc3level;223625.6418969991;223625.6418969991;0.0;2.742137908935547;1;0 
instances/N50T15/N50T15P1W15SD_DF2.dat;bc3level;240163.86708299973;240163.86708299973;0.0;3.955018997192383;1;0 
instances/N50T15/N50T15P1W15SD_DF3.dat;bc3level;220857.96914599993;220857.96914599993;0.0;2.9872500896453857;1;0 
instances/N50T15/N50T15P1W15SD_DF4.dat;bc3level;214791.33179699982;214791.3317969999;4.0649448299300795e-14;3.2592201232910156;1;0 
instances/N50T15/N50T15P1W15SD_DF5.dat;bc3level;215424.4154559998;215424.41545599996;6.75499812663484e-14;3.141972064971924;1;0 
instances/N50T15/N50T15P1W15DD_SF1.dat;bc3level;226842.41614499895;226842.41614499944;2.1810961378943136e-13;3.0006320476531982;1;0 
instances/N50T15/N50T15P1W15DD_SF2.dat;bc3level;229374.2763589997;229374.27635900019;2.1570209424447493e-13;3.330875873565674;1;0 
instances/N50T15/N50T15P1W15DD_SF3.dat;bc3level;231321.9295569999;231321.9295569999;0.0;2.791407823562622;1;0 
instances/N50T15/N50T15P1W15DD_SF4.dat;bc3level;225653.90176400018;225653.90176400018;0.0;2.9753711223602295;1;0 
instances/N50T15/N50T15P1W15DD_SF5.dat;bc3level;235710.5640669997;235710.564067;1.2347274536435724e-13;3.426682949066162;1;0 
instances/N50T15/N50T15P1W15DD_DF1.dat;bc3level;230119.56424099993;230119.56424099993;0.0;3.040374994277954;1;0 
instances/N50T15/N50T15P1W15DD_DF2.dat;bc3level;221982.27078799994;221982.27078799994;0.0;3.1174328327178955;1;0 
instances/N50T15/N50T15P1W15DD_DF3.dat;bc3level;224078.48896099982;224078.48896099985;1.298823041501281e-14;3.4326188564300537;1;0 
instances/N50T15/N50T15P1W15DD_DF4.dat;bc3level;227483.66225799994;227483.66225799994;0.0;3.188138961791992;1;0 
instances/N50T15/N50T15P1W15DD_DF5.dat;bc3level;218023.54866900004;218023.54866900004;0.0;3.8773210048675537;1;0 
instances/N50T15/N50T15P1W20SD_SF1.dat;bc3level;264567.5504219997;264567.5504220001;1.5400740784134728e-13;3.468812942504883;1;0 
instances/N50T15/N50T15P1W20SD_SF2.dat;bc3level;249454.96771499992;249454.96771499992;0.0;3.395704984664917;1;0 
instances/N50T15/N50T15P1W20SD_SF3.dat;bc3level;264930.21884900087;264930.21884900087;0.0;2.981981039047241;1;0 
instances/N50T15/N50T15P1W20SD_SF4.dat;bc3level;259057.87297099957;259057.87297100047;3.4826918549576033e-13;2.801563024520874;1;0 
instances/N50T15/N50T15P1W20SD_SF5.dat;bc3level;254680.1694051496;254680.22153400158;2.0468355053964742e-5;3.1321940422058105;1;0 
instances/N50T15/N50T15P1W20SD_DF1.dat;bc3level;257666.887674;257666.887674;0.0;3.068403959274292;1;0 
instances/N50T15/N50T15P1W20SD_DF2.dat;bc3level;260957.30860799993;260957.30860799993;0.0;2.881988048553467;1;0 
instances/N50T15/N50T15P1W20SD_DF3.dat;bc3level;245311.75641999993;245311.75641999993;0.0;3.0040199756622314;1;0 
instances/N50T15/N50T15P1W20SD_DF4.dat;bc3level;268900.7230799998;268900.7230799998;0.0;3.101119041442871;1;0 
instances/N50T15/N50T15P1W20SD_DF5.dat;bc3level;242767.67419099974;242767.6741909999;7.193008019799861e-14;3.034350872039795;1;0 
instances/N50T15/N50T15P1W20DD_SF1.dat;bc3level;251869.8505529999;251869.8505529999;0.0;3.369987964630127;1;0 
instances/N50T15/N50T15P1W20DD_SF2.dat;bc3level;248063.04814999975;248063.0481500002;1.7598649218686753e-13;2.634376049041748;1;0 
instances/N50T15/N50T15P1W20DD_SF3.dat;bc3level;241940.50969099975;241940.5096910001;1.4435200038507482e-13;2.8204450607299805;1;0 
instances/N50T15/N50T15P1W20DD_SF4.dat;bc3level;258880.51697799988;258880.51697799988;0.0;3.005373001098633;1;0 
instances/N50T15/N50T15P1W20DD_SF5.dat;bc3level;254883.24030799972;254883.24030799995;9.134796127533452e-14;3.250399112701416;1;0 
instances/N50T15/N50T15P1W20DD_DF1.dat;bc3level;246901.46259699995;246901.46259699995;0.0;3.2461659908294678;1;0 
