instance;form;bestbound;bestsol;gap;time;numnodes;disablesolver
instances/N200T30/N200T30P1W5SD_SF1.dat;mc;778281.1001000009;778281.1001000011;2.9916008961794563e-14;1430.5251579284668;0;0 
instances/N200T30/N200T30P1W5SD_SF2.dat;mc;730497.3471649995;730497.3471649995;0.0;1190.5179228782654;3;0 
instances/N200T30/N200T30P1W5SD_SF3.dat;mc;759327.1986349934;759327.198635001;9.965395592774126e-13;1624.3549020290375;5;0 
instances/N200T30/N200T30P1W5SD_SF4.dat;mc;709879.0358449994;709879.0358449994;0.0;1580.062413930893;3;0 
instances/N200T30/N200T30P1W5SD_SF5.dat;mc;698785.678179999;698785.678179999;0.0;1719.5024139881134;5;0 
instances/N200T30/N200T30P1W5SD_DF1.dat;mc;721264.2924499987;721264.2924499996;1.291236214469942e-13;488.6449558734894;7;0 
instances/N200T30/N200T30P1W5SD_DF2.dat;mc;695762.9936150005;695762.9936150005;0.0;260.753280878067;0;0 
instances/N200T30/N200T30P1W5SD_DF3.dat;mc;696653.0506639997;696653.0506639997;0.0;472.14799189567566;3;0 
instances/N200T30/N200T30P1W5SD_DF4.dat;mc;701505.507306995;701505.5073070007;8.131583729710341e-13;207.7830138206482;0;0 
instances/N200T30/N200T30P1W5SD_DF5.dat;mc;709397.17444;709397.1744400032;4.594928100365384e-13;198.76326298713684;0;0 
instances/N200T30/N200T30P1W5DD_SF1.dat;mc;753487.4056299985;753487.4056300002;2.163028198479813e-13;1027.5659880638123;0;0 
instances/N200T30/N200T30P1W5DD_SF2.dat;mc;700348.8218399987;700348.8218400003;2.3271467799362273e-13;1068.3015298843384;757;0 
instances/N200T30/N200T30P1W5DD_SF3.dat;mc;688924.2111089996;688924.2111089996;0.0;1227.3417139053345;29;0 
instances/N200T30/N200T30P1W5DD_SF4.dat;mc;710928.2777580007;710928.2777580007;0.0;1010.6321079730988;25;0 
instances/N200T30/N200T30P1W5DD_SF5.dat;mc;744062.6512050004;744062.6512050004;0.0;725.4121029376984;0;0 
instances/N200T30/N200T30P1W5DD_DF1.dat;mc;694342.9326070006;694342.9326070006;0.0;640.9809410572052;3;0 
instances/N200T30/N200T30P1W5DD_DF2.dat;mc;694546.8907210001;694546.8907210001;0.0;324.8175070285797;3;0 
instances/N200T30/N200T30P1W5DD_DF3.dat;mc;721359.6588979989;721359.6588979998;1.2910655082074216e-13;323.3012080192566;0;0 
instances/N200T30/N200T30P1W5DD_DF4.dat;mc;716682.4754959969;716682.4754959999;4.2233464204709703e-13;235.63579893112183;0;0 
instances/N200T30/N200T30P1W5DD_DF5.dat;mc;702043.8093179988;702043.8093179996;1.16076410328322e-13;170.7385609149933;0;0 
instances/N200T30/N200T30P1W10SD_SF1.dat;mc;868742.9366800003;868742.9366800003;0.0;2400.8387241363525;5;0 
instances/N200T30/N200T30P1W10SD_SF2.dat;mc;847237.0897810005;847237.3727890011;3.3403625674463166e-5;2917.2342369556427;5;0 
instances/N200T30/N200T30P1W10SD_SF3.dat;mc;846233.9002939973;846233.9002940018;5.365180418408061e-13;2674.0849969387054;7;0 
instances/N200T30/N200T30P1W10SD_SF4.dat;mc;862146.5040420017;862146.5040420017;0.0;2886.5587260723114;3;0 
instances/N200T30/N200T30P1W10SD_SF5.dat;mc;808197.6899979975;808197.689997999;1.8725606401496887e-13;2626.8908309936523;5;0 
instances/N200T30/N200T30P1W10SD_DF1.dat;mc;815204.9644350004;815204.9644350004;0.0;556.8163030147552;5;0 
instances/N200T30/N200T30P1W10SD_DF2.dat;mc;810618.9377519923;810618.9377519995;8.903998681903672e-13;340.930330991745;0;0 
instances/N200T30/N200T30P1W10SD_DF3.dat;mc;777326.2655130011;777326.2655130011;0.0;190.44669795036316;0;0 
instances/N200T30/N200T30P1W10SD_DF4.dat;mc;774396.5169879998;774396.5169879998;0.0;427.92332100868225;3;0 
instances/N200T30/N200T30P1W10SD_DF5.dat;mc;801768.7526199953;801768.7526199981;3.4847550677379034e-13;345.8596098423004;0;0 
instances/N200T30/N200T30P1W10DD_SF1.dat;mc;837839.9779239984;837839.9779240004;2.3620983996987196e-13;1712.8783631324768;7;0 
instances/N200T30/N200T30P1W10DD_SF2.dat;mc;842963.9830919999;842963.9830920002;4.1430710265908014e-14;2166.807825088501;12;0 
