instance;form;bestbound;bestsol;gap;time;numnodes
instances/N50T15/N50T15P1W5SD_SF1.dat;3level;179158.45106399956;179158.45106399964;4.873422986840368e-14;10.045613050460815;305 
instances/N50T15/N50T15P1W5SD_SF2.dat;3level;184346.9208529993;184346.9208529993;0.0;8.677565097808838;407 
instances/N50T15/N50T15P1W5SD_SF3.dat;3level;176526.81015399972;176526.8101540048;2.885210651846615e-12;28.346805810928345;1495 
instances/N50T15/N50T15P1W5SD_SF4.dat;3level;167189.18426500005;167189.18426500005;0.0;11.305586814880371;430 
instances/N50T15/N50T15P1W5SD_SF5.dat;3level;169260.5765729993;169260.5765729993;0.0;9.459429025650024;2227 
instances/N50T15/N50T15P1W5SD_DF1.dat;3level;166397.51296599951;166397.51296600024;4.3726360355338435e-13;8.501256942749023;41 
instances/N50T15/N50T15P1W5SD_DF2.dat;3level;160750.91671500384;160750.91671500384;0.0;6.110551118850708;1 
instances/N50T15/N50T15P1W5SD_DF3.dat;3level;166104.00931499994;166104.00931500003;5.2564349126951775e-14;5.145508050918579;1 
instances/N50T15/N50T15P1W5SD_DF4.dat;3level;180286.335936;180286.335936;0.0;4.922039031982422;1 
instances/N50T15/N50T15P1W5SD_DF5.dat;3level;170446.1380479993;170446.13804800145;1.2635566158687435e-12;8.258846998214722;51 
instances/N50T15/N50T15P1W5DD_SF1.dat;3level;169309.3157099995;169309.31571;2.9222557287510814e-13;6.6316070556640625;196 
instances/N50T15/N50T15P1W5DD_SF2.dat;3level;168102.3992009995;168102.39920099976;1.558184031611641e-13;37.796438217163086;3274 
instances/N50T15/N50T15P1W5DD_SF3.dat;3level;161777.57524199973;161777.57524200017;2.6985041418624745e-13;8.550638198852539;129 
instances/N50T15/N50T15P1W5DD_SF4.dat;3level;163979.49142999947;163979.49143000078;7.986805905615867e-13;11.770626068115234;212 
instances/N50T15/N50T15P1W5DD_SF5.dat;3level;170961.29568499947;170961.29568499967;1.1916545928179412e-13;10.043234825134277;630 
instances/N50T15/N50T15P1W5DD_DF1.dat;3level;157799.65473099914;157799.65473099914;0.0;9.236104011535645;392 
instances/N50T15/N50T15P1W5DD_DF2.dat;3level;176600.87898699942;176600.87898700027;4.779200919534527e-13;10.56124997138977;117 
instances/N50T15/N50T15P1W5DD_DF3.dat;3level;178621.2492374067;178621.34945300003;5.610504770605788e-5;3.4906251430511475;1 
instances/N50T15/N50T15P1W5DD_DF4.dat;3level;164171.16133499946;164171.1613349995;1.7727736235809332e-14;7.350528001785278;85 
instances/N50T15/N50T15P1W5DD_DF5.dat;3level;169693.85751499952;169693.85751500016;3.7731729328596546e-13;6.694015026092529;72 
instances/N50T15/N50T15P1W10SD_SF1.dat;3level;219377.08496399963;219377.08496399963;0.0;4.664683818817139;142 
instances/N50T15/N50T15P1W10SD_SF2.dat;3level;204563.84165099976;204563.8416509999;7.113630205084547e-14;5.351768970489502;271 
instances/N50T15/N50T15P1W10SD_SF3.dat;3level;207346.4907309999;207346.49073099997;2.807265303032442e-14;6.124284982681274;116 
instances/N50T15/N50T15P1W10SD_SF4.dat;3level;227770.53282999998;227770.53283000074;3.3222014387605094e-13;5.91212010383606;189 
instances/N50T15/N50T15P1W10SD_SF5.dat;3level;207104.44908899997;207104.44908899997;0.0;6.262846946716309;381 
instances/N50T15/N50T15P1W10SD_DF1.dat;3level;188430.45381199988;188430.45381200002;7.722698180669629e-14;6.557322025299072;72 
instances/N50T15/N50T15P1W10SD_DF2.dat;3level;193501.49446099976;193501.49446099976;0.0;9.161219835281372;457 
instances/N50T15/N50T15P1W10SD_DF3.dat;3level;190169.5430939999;190169.54309399996;3.0608298240846914e-14;5.4579551219940186;1 
instances/N50T15/N50T15P1W10SD_DF4.dat;3level;201075.41295499977;201075.41295499983;2.894817424868059e-14;6.553841829299927;53 
instances/N50T15/N50T15P1W10SD_DF5.dat;3level;204525.4433059998;204525.44330599986;2.8459862974789046e-14;4.659424066543579;64 
instances/N50T15/N50T15P1W10DD_SF1.dat;3level;196587.82933499975;196587.8293349999;7.402246251760242e-14;5.466470956802368;122 
instances/N50T15/N50T15P1W10DD_SF2.dat;3level;188307.40345200006;188307.40345200017;6.18219569134515e-14;8.360333919525146;1140 
instances/N50T15/N50T15P1W10DD_SF3.dat;3level;200732.39154299995;200732.39154299995;0.0;8.188447952270508;276 
instances/N50T15/N50T15P1W10DD_SF4.dat;3level;204974.88646699995;204974.8864670017;8.519237929594573e-13;5.795186996459961;188 
instances/N50T15/N50T15P1W10DD_SF5.dat;3level;204977.75236399967;204977.75236399967;0.0;4.8604559898376465;172 
instances/N50T15/N50T15P1W10DD_DF1.dat;3level;182537.44323799998;182537.44323799998;0.0;3.0903890132904053;1 
instances/N50T15/N50T15P1W10DD_DF2.dat;3level;201484.1146429998;201484.11464300012;1.5889199780901584e-13;4.036532878875732;1 
instances/N50T15/N50T15P1W10DD_DF3.dat;3level;204628.7980520001;204628.7980520001;0.0;4.151195049285889;56 
instances/N50T15/N50T15P1W10DD_DF4.dat;3level;188355.3783299998;188355.37832999986;3.0903105305274165e-14;3.5258660316467285;1 
instances/N50T15/N50T15P1W10DD_DF5.dat;3level;205354.392099;205354.39209900005;2.8344979777888492e-14;5.097434043884277;14 
instances/N50T15/N50T15P1W15SD_SF1.dat;3level;251190.41278974997;251190.619338;8.222769248419128e-5;4.560948133468628;139 
instances/N50T15/N50T15P1W15SD_SF2.dat;3level;251630.95926599993;251630.95926600005;4.6264307923999024e-14;2.7900948524475098;58 
instances/N50T15/N50T15P1W15SD_SF3.dat;3level;197314.54610299988;197314.54610299988;0.0;3.2840828895568848;226 
instances/N50T15/N50T15P1W15SD_SF4.dat;3level;235777.99915999992;235777.99915999995;1.2343743080533872e-14;3.68210506439209;34 
instances/N50T15/N50T15P1W15SD_SF5.dat;3level;227482.10464999947;227482.10465;2.3029017998018893e-13;3.95113205909729;15 
instances/N50T15/N50T15P1W15SD_DF1.dat;3level;220492.98868;220492.98868;0.0;3.954113006591797;14 
instances/N50T15/N50T15P1W15SD_DF2.dat;3level;235625.12145899935;235625.1214590001;3.2114554984186846e-13;4.08587908744812;84 
instances/N50T15/N50T15P1W15SD_DF3.dat;3level;214592.91158999995;214592.91158999995;0.0;1.987058162689209;2 
instances/N50T15/N50T15P1W15SD_DF4.dat;3level;209002.40026499986;209002.40026499986;0.0;0.7793319225311279;1 
instances/N50T15/N50T15P1W15SD_DF5.dat;3level;207785.52103899984;207785.521039;8.404001485148073e-14;2.622974157333374;7 
instances/N50T15/N50T15P1W15DD_SF1.dat;3level;218227.29632399994;218227.29632399994;0.0;2.7650129795074463;75 
instances/N50T15/N50T15P1W15DD_SF2.dat;3level;222971.96008299998;222971.96008300007;3.9158058859822506e-14;2.4952211380004883;52 
instances/N50T15/N50T15P1W15DD_SF3.dat;3level;225103.48156699984;225103.48156699984;0.0;2.0029048919677734;1 
instances/N50T15/N50T15P1W15DD_SF4.dat;3level;218469.52742999984;218469.52742999984;0.0;2.5443100929260254;38 
instances/N50T15/N50T15P1W15DD_SF5.dat;3level;226051.52814499976;226051.52814500005;1.2874865609430937e-13;3.562870979309082;119 
