instance;form;bestbound;bestsol;gap;time;numnodes;disablesolver
instances/N50T15/N50T15P1W5SD_SF1.dat;mc;194227.32414399995;194227.32414400007;5.993766445581289e-14;0.8973648548126221;0;0 
instances/N50T15/N50T15P1W5SD_SF2.dat;mc;195714.128138;195714.12813800017;8.922349367505735e-14;1.9515411853790283;1;0 
instances/N50T15/N50T15P1W5SD_SF3.dat;mc;186219.05964399994;186219.05964400008;7.814406997965801e-14;1.6674790382385254;1;0 
instances/N50T15/N50T15P1W5SD_SF4.dat;mc;176429.51949200008;176429.51949200008;0.0;1.7170660495758057;1;0 
instances/N50T15/N50T15P1W5SD_SF5.dat;mc;182092.233179;182092.2331790001;4.794904749417416e-14;1.6134178638458252;1;0 
instances/N50T15/N50T15P1W5SD_DF1.dat;mc;174530.745063;174530.745063;0.0;0.6626818180084229;0;0 
instances/N50T15/N50T15P1W5SD_DF2.dat;mc;168653.42423199982;168653.4242319999;5.1769770917959716e-14;0.6398720741271973;0;0 
instances/N50T15/N50T15P1W5SD_DF3.dat;mc;175163.4658149999;175163.4658149999;0.0;0.6469271183013916;0;0 
instances/N50T15/N50T15P1W5SD_DF4.dat;mc;191596.09278199988;191596.09278199988;0.0;0.7218170166015625;0;0 
instances/N50T15/N50T15P1W5SD_DF5.dat;mc;178671.30116399995;178671.30116400012;9.773420890919577e-14;0.6885840892791748;0;0 
instances/N50T15/N50T15P1W5DD_SF1.dat;mc;175931.139211;175931.139211;0.0;0.8534719944000244;0;0 
instances/N50T15/N50T15P1W5DD_SF2.dat;mc;176182.1504059998;176182.15040599997;9.911502518160622e-14;1.0027990341186523;0;0 
instances/N50T15/N50T15P1W5DD_SF3.dat;mc;171012.95756100002;171012.95756100002;0.0;0.8452320098876953;0;0 
instances/N50T15/N50T15P1W5DD_SF4.dat;mc;178146.062251;178146.062251;0.0;0.9489808082580566;0;0 
instances/N50T15/N50T15P1W5DD_SF5.dat;mc;181638.76407900002;181638.76407900002;0.0;1.0221281051635742;0;0 
instances/N50T15/N50T15P1W5DD_DF1.dat;mc;167883.75667999996;167883.75667999996;0.0;0.6728730201721191;0;0 
instances/N50T15/N50T15P1W5DD_DF2.dat;mc;183951.299603;183951.299603;0.0;0.6979079246520996;0;0 
instances/N50T15/N50T15P1W5DD_DF3.dat;mc;188555.62008300005;188555.62008300005;0.0;0.6748449802398682;0;0 
instances/N50T15/N50T15P1W5DD_DF4.dat;mc;174496.364796;174496.36479600007;3.335752064607003e-14;0.6958010196685791;0;0 
instances/N50T15/N50T15P1W5DD_DF5.dat;mc;179017.8018229999;179017.80182299996;3.2515012652774604e-14;0.6273140907287598;0;0 
instances/N50T15/N50T15P1W10SD_SF1.dat;mc;235276.76843999978;235276.76844000007;1.2370040038252105e-13;0.6799600124359131;0;0 
instances/N50T15/N50T15P1W10SD_SF2.dat;mc;212373.6038559999;212373.6038559999;0.0;0.6529641151428223;0;0 
instances/N50T15/N50T15P1W10SD_SF3.dat;mc;218639.78205499984;218639.78205499984;0.0;0.7327861785888672;0;0 
instances/N50T15/N50T15P1W10SD_SF4.dat;mc;245457.53736999992;245457.53736999992;0.0;0.7258219718933105;0;0 
instances/N50T15/N50T15P1W10SD_SF5.dat;mc;223318.43951599995;223318.43951600004;3.90973049782329e-14;0.7086498737335205;0;0 
