instance;NR;NT;NW;capacity;balanced;fixsizerf;freeintervalrf;maxtimerf;bestsol;elapsedtime
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;1.75;0;3;2;120;494056.26286633284;9.280361414
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;1.75;0;3;2;120;443767.9299033326;7.155361279
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;1.75;0;3;2;120;1.1227670569003324e6;77.854282576
instance;NR;NT;NW;capacity;balanced;fixsizerf;freeintervalrf;maxtimerf;bestsol;elapsedtime
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;1.75;0;3;3;120;491817.31238533324;16.079774477
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;1.75;0;3;3;120;444834.6006249995;28.374826854000002
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;1.75;0;3;3;120;1.1173158992743324e6;98.57077290899998
instance;NR;NT;NW;capacity;balanced;fixsizerf;freeintervalrf;maxtimerf;bestsol;elapsedtime
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;1.75;0;3;4;120;491125.759888;34.808730702999995
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;1.75;0;3;4;120;444323.5139649985;45.92428856
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;1.75;0;3;4;120;1.120444240356999e6;99.65117258599999
instance;NR;NT;NW;capacity;balanced;fixsizerf;freeintervalrf;maxtimerf;bestsol;elapsedtime
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;1.75;0;4;2;120;491219.2634573334;12.579175219000001
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;1.75;0;4;2;120;444042.79523366515;12.880341214
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;1.75;0;4;2;120;1.1108297729086657e6;83.180610684
instance;NR;NT;NW;capacity;balanced;fixsizerf;freeintervalrf;maxtimerf;bestsol;elapsedtime
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;1.75;0;4;3;120;492069.5699616666;21.347081944000003
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;1.75;0;4;3;120;441957.748910332;27.500759206
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;1.75;0;4;3;120;1.118756065125333e6;92.53638390200001
instance;NR;NT;NW;capacity;balanced;fixsizerf;freeintervalrf;maxtimerf;bestsol;elapsedtime
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;1.75;0;4;4;120;490785.07096899976;25.250260558
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;1.75;0;4;4;120;443650.6869699991;40.77479436
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;1.75;0;4;4;120;1.121545815198666e6;92.565487122
instance;NR;NT;NW;capacity;balanced;fixsizerf;freeintervalrf;maxtimerf;bestsol;elapsedtime
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;2.0;0;2;2;120;454330.3972663332;4.587343195
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;2.0;0;2;2;120;409570.30035899894;5.6785832240000005
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;2.0;0;2;2;120;1.0345560938366672e6;57.271638521
instance;NR;NT;NW;capacity;balanced;fixsizerf;freeintervalrf;maxtimerf;bestsol;elapsedtime
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;2.0;0;2;3;120;453778.0331139999;10.218909826
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;2.0;0;2;3;120;406331.30008899886;8.041375983
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;2.0;0;2;3;120;1.0150309540843328e6;88.887190025
instance;NR;NT;NW;capacity;balanced;fixsizerf;freeintervalrf;maxtimerf;bestsol;elapsedtime
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;2.0;0;2;4;120;453976.3868973332;33.393521265000004
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;2.0;0;2;4;120;406298.7722639993;20.798453961
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;2.0;0;2;4;120;1.0179961001119997e6;93.63534871400002
instance;NR;NT;NW;capacity;balanced;fixsizerf;freeintervalrf;maxtimerf;bestsol;elapsedtime
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;2.0;0;3;2;120;451998.637131;7.202071495999999
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;2.0;0;3;2;120;406540.16007;8.457127716999999
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;2.0;0;3;2;120;1.0152507286916656e6;79.349162317
instance;NR;NT;NW;capacity;balanced;fixsizerf;freeintervalrf;maxtimerf;bestsol;elapsedtime
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;2.0;0;3;3;120;454235.6358079999;22.765821193999997
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;2.0;0;3;3;120;406325.29784899903;17.089081988
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;2.0;0;3;3;120;1.0221723569889995e6;98.361376933
instance;NR;NT;NW;capacity;balanced;fixsizerf;freeintervalrf;maxtimerf;bestsol;elapsedtime
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;2.0;0;3;4;120;452290.20024699986;30.481942657999998
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;2.0;0;3;4;120;408544.4133683325;27.372150691999998
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;2.0;0;3;4;120;1.0162464002573325e6;97.718742974
instance;NR;NT;NW;capacity;balanced;fixsizerf;freeintervalrf;maxtimerf;bestsol;elapsedtime
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;2.0;0;4;2;120;453756.7726433332;21.402589424000002
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;2.0;0;4;2;120;407099.3548306654;19.533544283999998
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;2.0;0;4;2;120;1.0126497583539992e6;87.025025374
instance;NR;NT;NW;capacity;balanced;fixsizerf;freeintervalrf;maxtimerf;bestsol;elapsedtime
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;2.0;0;4;3;120;451780.35451499996;34.903099017
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;2.0;0;4;3;120;406285.3698789987;24.544153178000002
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;2.0;0;4;3;120;1.017478279968333e6;92.02320963300001
instance;NR;NT;NW;capacity;balanced;fixsizerf;freeintervalrf;maxtimerf;bestsol;elapsedtime
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;2.0;0;4;4;120;452322.9383226666;29.608561863
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;2.0;0;4;4;120;406299.9461023313;37.530518285
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;2.0;0;4;4;120;1.0240591300943326e6;92.84571378
