instance;bestcost; averagecost; elapsedtime; dptype; dpalpha
instances/N100T15/N100T15P1W5SD_SF1.dat;298555.4475050001;306046.1852557378;0.739912235;1;0.2 
instances/N100T15/N100T15P1W5SD_SF2.dat;286476.71140699997;294704.893192068;0.782075968;1;0.2 
instances/N100T15/N100T15P1W5SD_SF3.dat;283411.3156480002;291654.28416227625;0.73044055;1;0.2 
instances/N100T15/N100T15P1W5SD_SF4.dat;287760.02898600016;296282.91082066606;0.729006782;1;0.2 
instances/N100T15/N100T15P1W5SD_SF5.dat;292209.09395500005;300089.125010658;0.74400769;1;0.2 
instances/N100T15/N100T15P1W5SD_DF1.dat;255482.56433300005;262284.2631724639;0.743284929;1;0.2 
instances/N100T15/N100T15P1W5SD_DF2.dat;261653.1017929999;264241.21134452376;0.736070216;1;0.2 
instances/N100T15/N100T15P1W5SD_DF3.dat;279382.36115599994;283046.80542269605;0.76873423;1;0.2 
instances/N100T15/N100T15P1W5SD_DF4.dat;261910.80343600007;264247.3822304402;0.744204152;1;0.2 
instances/N100T15/N100T15P1W5SD_DF5.dat;268238.60820500006;272319.45597539394;0.747948193;1;0.2 
instances/N100T15/N100T15P1W5DD_SF1.dat;285534.150406;293937.48455713765;0.749003404;1;0.2 
instances/N100T15/N100T15P1W5DD_SF2.dat;252912.95548799995;257206.81791413794;0.754302771;1;0.2 
instances/N100T15/N100T15P1W5DD_SF3.dat;276752.07846600004;283082.1201615483;0.728730961;1;0.2 
instances/N100T15/N100T15P1W5DD_SF4.dat;273373.22012899996;279244.1785437518;0.721812711;1;0.2 
instances/N100T15/N100T15P1W5DD_SF5.dat;280839.31019799993;285640.398889328;0.726929065;1;0.2 
instances/N100T15/N100T15P1W5DD_DF1.dat;264331.65336799994;265694.80908272206;0.739015238;1;0.2 
instances/N100T15/N100T15P1W5DD_DF2.dat;267056.729162;271445.18344052386;0.757838901;1;0.2 
instances/N100T15/N100T15P1W5DD_DF3.dat;263628.887946;266158.5406263379;0.734134128;1;0.2 
instances/N100T15/N100T15P1W5DD_DF4.dat;281750.716263;284817.71136873774;0.739977651;1;0.2 
instances/N100T15/N100T15P1W5DD_DF5.dat;278746.94277599995;283168.38252251805;0.725586271;1;0.2 
instances/N100T15/N100T15P1W10SD_SF1.dat;344385.2593370001;353928.9302302681;0.780469203;1;0.2 
instances/N100T15/N100T15P1W10SD_SF2.dat;324928.549441;334467.5313823363;0.767424588;1;0.2 
instances/N100T15/N100T15P1W10SD_SF3.dat;343002.32263599994;351346.545582958;0.760821411;1;0.2 
instances/N100T15/N100T15P1W10SD_SF4.dat;339952.61113;350087.517703666;0.766224932;1;0.2 
instances/N100T15/N100T15P1W10SD_SF5.dat;296426.46305;304205.71261765214;0.761785552;1;0.2 
instances/N100T15/N100T15P1W10SD_DF1.dat;311207.05876700004;313293.5316226819;0.764113582;1;0.2 
instances/N100T15/N100T15P1W10SD_DF2.dat;304914.578939;310842.7507580482;0.737501856;1;0.2 
instances/N100T15/N100T15P1W10SD_DF3.dat;315587.8771459999;319620.0552583241;0.754463427;1;0.2 
instances/N100T15/N100T15P1W10SD_DF4.dat;307423.88033499994;310339.08220573;0.757342269;1;0.2 
instances/N100T15/N100T15P1W10SD_DF5.dat;297279.79956099985;301217.08401065384;0.742794436;1;0.2 
instances/N100T15/N100T15P1W10DD_SF1.dat;338018.41304;343335.53123069636;0.763625647;1;0.2 
instances/N100T15/N100T15P1W10DD_SF2.dat;317025.987429;323928.1338974502;0.745983766;1;0.2 
instances/N100T15/N100T15P1W10DD_SF3.dat;313799.51498299994;320166.617984848;0.750916307;1;0.2 
instances/N100T15/N100T15P1W10DD_SF4.dat;316428.19932099996;324311.4094281062;0.756624771;1;0.2 
instances/N100T15/N100T15P1W10DD_SF5.dat;319675.89649500005;326225.6197709522;0.741580787;1;0.2 
instances/N100T15/N100T15P1W10DD_DF1.dat;305752.497268;308163.2135540378;0.768456791;1;0.2 
instances/N100T15/N100T15P1W10DD_DF2.dat;297964.121831;302595.31586025417;0.715489073;1;0.2 
instances/N100T15/N100T15P1W10DD_DF3.dat;306662.27603800007;308872.39039103413;0.737666859;1;0.2 
