instance;form;cap;capw;capr;bestbound;bestsol;gap;time;nodes;opt
instances/N50T15/N50T15P1W5DD_SF8.dat;esn;2.0;2.0;1.5;469199.25453327294;469207.03644564847;0.0016585242272755196;1800.0132710933685;1419934;0 
instances/N100T15/N100T15P1W5DD_SF8.dat;esn;2.0;2.0;1.5;417695.80502376304;417808.9380750589;0.027077700112666553;1800.0188899040222;710091;0 
instances/N200T15/N200T15P1W5DD_SF8.dat;esn;2.0;2.0;1.5;521258.8460089414;522889.20170215174;0.311797544853299;1800.0365600585938;83102;0 
instances/N50T30/N50T30P1W5DD_SF8.dat;esn;2.0;2.0;1.5;700213.1134775351;707193.8978403134;0.9871103786524165;1800.05535197258;35130;0 
instances/N100T30/N100T30P1W5DD_SF8.dat;esn;2.0;2.0;1.5;917781.978574168;942144.3097211646;2.5858385913519784;1802.8979580402374;21239;0 
instances/N200T30/N200T30P1W5DD_SF8.dat;esn;2.0;2.0;1.5;1.006862955150484e6;1.080175661365204e6;6.787109619009757;1800.072613954544;4266;0 
