instance,form_x,cap,capw,capr,T,W,R,bestbound,bestsol,gap,time,nodes,opt,form_y,bal,fixsizerf,freeintervalrf,maxtimerf,bestsolrf,timerf,fixsizefo,freeintervalfo,minroundsfo,maxtimefo,incfixfo,inchorfo,bestsolfo,timefo,rounds,gap_rffo,impr_fo_rf,impr_rffo_esls,dif,#inst<=,#inst<
instances/N200T15/N200T15P1W20DD_SF3.dat,esls,0.0,0.0,1.5,15.0,20.0,200.0,528141.2851239993,528141.2851239993,0.0,65.6821801662445,4687.0,1.0,rffoesls,0.0,3.0,2.0,60.0,528559.194018,35.710601223,3.0,2.0,2.0,600.0,0.0,1.0,528141.2851239999,547.7137193010001,12.0,1.1021229082631003e-13,0.0790656749007146,-1.1021229082631016e-13,-5.820766091346741e-10,1.0,0.0
instances/N200T15/N200T15P1W20DD_SF4.dat,esls,0.0,0.0,1.5,15.0,20.0,200.0,503864.7820159999,503864.782016,2.3104476832285943e-14,31.694616079330444,8535.0,1.0,rffoesls,0.0,3.0,2.0,60.0,508492.809761,32.244668933,3.0,2.0,2.0,600.0,0.0,1.0,503864.78201600007,370.992524415,16.0,3.465671524842892e-14,0.9101461527401264,-1.1552238416142973e-14,-5.820766091346741e-11,1.0,0.0
instances/N200T15/N200T15P1W20DD_SF5.dat,esls,0.0,0.0,1.5,15.0,20.0,200.0,533537.168233,533537.168233,0.0,23.068033933639526,6162.0,1.0,rffoesls,0.0,3.0,2.0,60.0,533708.042532,33.470544177,3.0,2.0,2.0,600.0,0.0,1.0,533537.1682329997,255.237974763,13.0,-4.363906725092313e-14,0.03201643696235005,4.363906725092311e-14,2.3283064365386963e-10,1.0,0.0
instances/N50T15/N50T15P1W5DD_SF1.dat,esls,0.0,0.0,1.5,15.0,5.0,50.0,172858.716258,172858.716258,0.0,0.5858471393585205,1.0,1.0,rffoesls,0.0,3.0,2.0,60.0,172882.58590200002,13.242815814,3.0,2.0,2.0,600.0,0.0,1.0,172858.716258,24.345159214999995,12.0,0.0,0.013806852711904167,0.0,0.0,1.0,0.0
instances/N50T15/N50T15P1W5DD_SF2.dat,esls,0.0,0.0,1.5,15.0,5.0,50.0,173293.992585,173293.992585,0.0,0.6979889869689941,1.0,1.0,rffoesls,0.0,3.0,2.0,60.0,173475.18183699998,13.425646654,3.0,2.0,2.0,600.0,0.0,1.0,173293.99258500006,28.164564968,12.0,3.358896638319229e-14,0.10444678603661706,-3.35889663831923e-14,-5.820766091346741e-11,1.0,0.0
instances/N50T15/N50T15P1W5DD_SF3.dat,esls,0.0,0.0,1.5,15.0,5.0,50.0,165051.137363,165051.13736300002,1.7633220177529048e-14,0.956779956817627,149.0,1.0,rffoesls,0.0,3.0,2.0,60.0,165210.5744203736,13.309550278,3.0,2.0,2.0,600.0,0.0,1.0,165051.13736299996,26.320357972,12.0,-1.7633220177529055e-14,0.09650535865092676,3.526644035505809e-14,5.820766091346741e-11,1.0,0.0
instances/N50T15/N50T15P1W5DD_SF4.dat,esls,0.0,0.0,1.5,15.0,5.0,50.0,168404.699575,168404.699575,0.0,0.939250946044922,1.0,1.0,rffoesls,0.0,3.0,2.0,60.0,168406.5143169972,13.429320011,3.0,2.0,2.0,600.0,0.0,1.0,168404.69957500027,30.095510792,12.0,1.5553869623094984e-13,0.0010775960801111852,-1.5553869623095007e-13,-2.6193447411060333e-10,1.0,0.0
instances/N50T15/N50T15P1W5DD_SF5.dat,esls,0.0,0.0,1.5,15.0,5.0,50.0,175418.60248,175418.60248,0.0,1.5707159042358398,265.0,1.0,rffoesls,0.0,3.0,2.0,60.0,175436.17325900044,13.271959583,3.0,2.0,2.0,600.0,0.0,1.0,175418.60248,35.81848431900001,12.0,0.0,0.010015482368335696,0.0,0.0,1.0,0.0
instances/N100T15/N100T15P1W5DD_SF1.dat,esls,0.0,0.0,2.0,15.0,5.0,100.0,256769.079368,256769.079368,0.0,6.85339617729187,253.0,1.0,rffoesls,0.0,3.0,2.0,60.0,256794.394418,16.557979884999998,3.0,2.0,2.0,600.0,0.0,1.0,256769.079368,72.087002534,12.0,0.0,0.009858100702462314,0.0,0.0,1.0,0.0
instances/N100T15/N100T15P1W5DD_SF2.dat,esls,0.0,0.0,2.0,15.0,5.0,100.0,227103.388749,227103.388749,0.0,10.762749910354614,570.0,1.0,rffoesls,0.0,3.0,2.0,60.0,227181.339653,17.452228919000003,3.0,2.0,2.0,600.0,0.0,1.0,227103.3887490001,129.865125374,14.0,3.8445701691708255e-14,0.034312194883159654,-3.844570169170827e-14,-8.731149137020111e-11,1.0,0.0
instances/N100T15/N100T15P1W5DD_SF3.dat,esls,0.0,0.0,2.0,15.0,5.0,100.0,251502.035597,251502.035597,0.0,9.243561029434204,466.0,1.0,rffoesls,0.0,3.0,2.0,60.0,251629.235972,17.087504738,3.0,2.0,2.0,600.0,0.0,1.0,251502.035597,110.557039623,14.0,0.0,0.05055071383443695,0.0,0.0,1.0,0.0
instances/N100T15/N100T15P1W5DD_SF4.dat,esls,0.0,0.0,2.0,15.0,5.0,100.0,244781.199961,244781.199961,0.0,9.95017409324646,315.0,1.0,rffoesls,0.0,3.0,2.0,60.0,244862.33193499933,17.408819033,3.0,2.0,2.0,600.0,0.0,1.0,244781.19996099995,119.019198416,13.0,-2.377946546660504e-14,0.033133709606635184,2.3779465466605034e-14,5.820766091346741e-11,1.0,0.0
instances/N100T15/N100T15P1W5DD_SF5.dat,esls,0.0,0.0,2.0,15.0,5.0,100.0,244481.985009,244481.985009,0.0,9.879217147827148,309.0,1.0,rffoesls,0.0,3.0,2.0,60.0,244714.312117,17.860175017,3.0,2.0,2.0,600.0,0.0,1.0,244481.98500900003,101.276491476,13.0,1.1904284258679558e-14,0.09493809576976887,-1.1904284258679559e-14,-2.9103830456733704e-11,1.0,0.0
instances/N50T30/N50T30P1W15DD_SF1.dat,esls,0.0,0.0,1.75,30.0,15.0,50.0,459700.204153,459700.204153,0.0,18.348009824752808,131.0,1.0,rffoesls,0.0,3.0,2.0,60.0,460431.95572497975,37.135480869000006,3.0,2.0,2.0,600.0,0.0,1.0,459700.204153,600.0070437069999,24.0,0.0,0.1589271906263615,0.0,0.0,1.0,0.0
instances/N50T30/N50T30P1W15DD_SF2.dat,esls,0.0,0.0,1.75,30.0,15.0,50.0,467144.739587,467144.739587,0.0,33.632858991622925,5267.0,1.0,rffoesls,0.0,3.0,2.0,60.0,478058.54258800176,42.94619737099999,3.0,2.0,2.0,600.0,0.0,1.0,467144.739587,600.009371869,24.0,0.0,2.282942783935869,0.0,0.0,1.0,0.0
instances/N50T30/N50T30P1W15DD_SF3.dat,esls,0.0,0.0,1.75,30.0,15.0,50.0,455633.528364,455633.528364,0.0,31.64606094360352,866.0,1.0,rffoesls,0.0,3.0,2.0,60.0,459498.421002,41.404601186,3.0,2.0,2.0,600.0,0.0,1.0,456178.63892,600.0067448990003,19.0,0.11949497619847267,0.7224795407916192,-0.11963793752344062,-545.1105559999705,0.0,0.0
instances/N50T30/N50T30P1W15DD_SF4.dat,esls,0.0,0.0,1.75,30.0,15.0,50.0,450447.485209,450447.485209,1.2922185787419823e-14,28.345314025878903,775.0,1.0,rffoesls,0.0,3.0,2.0,60.0,451984.341462,37.375047488,3.0,2.0,2.0,600.0,0.0,1.0,450447.4852090016,600.013428143,22.0,3.48899016260334e-13,0.3400242247391249,-3.488990162603352e-13,-1.57160684466362e-09,1.0,0.0
instances/N50T30/N50T30P1W15DD_SF5.dat,esls,0.0,0.0,1.75,30.0,15.0,50.0,443043.6041669999,443043.6041669999,0.0,20.179508924484253,1034.0,1.0,rffoesls,0.0,3.0,2.0,60.0,449164.063735,41.555286354,3.0,2.0,2.0,600.0,0.0,1.0,443043.604167,600.0080989379999,19.0,1.3138133665851707e-14,1.3626334032837877,-1.313813366585171e-14,-5.820766091346741e-11,1.0,0.0
instances/N50T15/N50T15P1W5DD_SF1.dat,esls,0.0,0.0,2.0,15.0,5.0,50.0,171499.555983,171499.55598300003,1.697020746783661e-14,1.3848631381988523,1.0,1.0,rffoesls,0.0,3.0,2.0,60.0,171540.67554000003,13.148205225000002,3.0,2.0,2.0,600.0,0.0,1.0,171499.55598299933,35.58686445100001,14.0,-3.903147717602437e-13,0.023970732813809143,4.0728497922807867e-13,6.984919309616089e-10,1.0,0.0
instances/N50T15/N50T15P1W5DD_SF2.dat,esls,0.0,0.0,2.0,15.0,5.0,50.0,171013.99880499998,171013.99880499998,0.0,1.4896719455718994,1.0,1.0,rffoesls,0.0,3.0,2.0,60.0,171098.074645,13.578380512,3.0,2.0,2.0,600.0,0.0,1.0,171013.99880500004,40.086958145,14.0,3.4036781386440256e-14,0.049138974926743115,-3.403678138644026e-14,-5.820766091346741e-11,1.0,0.0
instances/N50T15/N50T15P1W5DD_SF3.dat,esls,0.0,0.0,2.0,15.0,5.0,50.0,163561.188716,163561.188716,0.0,1.6848080158233645,1.0,1.0,rffoesls,0.0,3.0,2.0,60.0,163599.21648,13.538420029,3.0,2.0,2.0,600.0,0.0,1.0,163561.188716,40.972349686,13.0,0.0,0.023244465846599862,0.0,0.0,1.0,0.0
instances/N50T15/N50T15P1W5DD_SF4.dat,esls,0.0,0.0,2.0,15.0,5.0,50.0,166579.285996,166579.285996,0.0,2.3309900760650635,1.0,1.0,rffoesls,0.0,3.0,2.0,60.0,166604.92516100002,13.557319712,3.0,2.0,2.0,600.0,0.0,1.0,166579.28599599996,43.581441621,14.0,-1.7471458280492672e-14,0.015389199914277502,1.747145828049267e-14,2.9103830456733704e-11,1.0,0.0
instances/N50T15/N50T15P1W5DD_SF5.dat,esls,0.0,0.0,2.0,15.0,5.0,50.0,173584.55571799976,173584.55571799976,0.0,2.985056161880493,201.0,1.0,rffoesls,0.0,3.0,2.0,60.0,173623.189129,14.285973789,3.0,2.0,2.0,600.0,0.0,1.0,173584.55571800002,50.162568803,13.0,1.5089733820336746e-13,0.022251296727007933,-1.508973382033677e-13,-2.6193447411060333e-10,1.0,0.0
instances/N50T30/N50T30P1W20DD_SF1.dat,esls,0.0,0.0,2.0,30.0,20.0,50.0,499885.610838,499885.610838,0.0,36.78356504440308,815.0,1.0,rffoesls,0.0,3.0,2.0,60.0,503504.5433729615,39.572783503,3.0,2.0,2.0,600.0,0.0,1.0,499885.610838,600.0188377230002,20.0,0.0,0.718748734761831,0.0,0.0,1.0,0.0
instances/N50T30/N50T30P1W20DD_SF2.dat,esls,0.0,0.0,2.0,30.0,20.0,50.0,534038.3107190343,534038.7955700001,9.078946507472724e-05,12.358649969100952,1.0,0.0,rffoesls,0.0,3.0,2.0,60.0,534181.799317,41.66856457399999,3.0,2.0,2.0,600.0,0.0,1.0,534038.7955699761,600.014525738,28.0,9.078946058412942e-05,0.026770613900870113,4.490601899203248e-12,2.3981556296348572e-08,1.0,0.0
instances/N50T30/N50T30P1W20DD_SF3.dat,esls,0.0,0.0,2.0,30.0,20.0,50.0,483530.428962,483530.428962,0.0,31.010945081710812,368.0,1.0,rffoesls,0.0,3.0,2.0,60.0,489396.361037,41.95596881700001,3.0,2.0,2.0,600.0,0.0,1.0,483530.428962,600.0176013749999,22.0,0.0,1.1986055765863233,0.0,0.0,1.0,0.0
instances/N50T30/N50T30P1W20DD_SF4.dat,esls,0.0,0.0,2.0,30.0,20.0,50.0,509045.977613,509045.977613,1.1434656882353272e-14,20.48825192451477,1.0,1.0,rffoesls,0.0,3.0,2.0,60.0,519432.099431,43.02842199599999,3.0,2.0,2.0,600.0,0.0,1.0,509045.97761299927,600.017450339,25.0,-1.4865053947059278e-13,1.9995148219330265,1.4865053947059255e-13,7.566995918750763e-10,1.0,0.0
instances/N50T30/N50T30P1W20DD_SF5.dat,esls,0.0,0.0,2.0,30.0,20.0,50.0,499721.35269,499721.3526900001,1.1648023563559084e-14,16.026730060577393,1.0,1.0,rffoesls,0.0,3.0,2.0,60.0,507190.89364042965,41.488908679000005,3.0,2.0,2.0,600.0,0.0,1.0,499721.3526899999,600.0076196750001,23.0,-2.3296047127118177e-14,1.4727277331057986,3.494407069067726e-14,1.7462298274040222e-10,1.0,0.0
instances/N100T15/N100T15P1W10DD_SF1.dat,esls,0.0,0.0,1.5,15.0,10.0,100.0,304040.173847,304040.173847,0.0,2.64491605758667,487.0,1.0,rffoesls,0.0,3.0,2.0,60.0,304724.27257000003,15.442829382,3.0,2.0,2.0,600.0,0.0,1.0,304040.1738469999,62.99816553,14.0,-3.8289453776433415e-14,0.22449761459123668,3.8289453776433396e-14,1.1641532182693481e-10,1.0,0.0
instances/N100T15/N100T15P1W10DD_SF2.dat,esls,0.0,0.0,1.5,15.0,10.0,100.0,286228.48968699994,286228.489687,2.0336082189833492e-14,2.0169360637664795,476.0,1.0,rffoesls,0.0,3.0,2.0,60.0,286698.47406000004,16.028518155,3.0,2.0,2.0,600.0,0.0,1.0,286228.48968700005,64.20137589400001,15.0,4.0672164379666984e-14,0.16392984808898103,-2.0336082189833495e-14,-5.820766091346741e-11,1.0,0.0
instances/N100T15/N100T15P1W10DD_SF3.dat,esls,0.0,0.0,1.5,15.0,10.0,100.0,280578.314261,280578.314261,0.0,2.9007248878479004,537.0,1.0,rffoesls,0.0,3.0,2.0,60.0,281292.412103,17.582563821000004,3.0,2.0,2.0,600.0,0.0,1.0,280578.3142609999,69.85696119,15.0,-4.149120438390075e-14,0.2538631727252552,4.149120438390073e-14,1.1641532182693481e-10,1.0,0.0
instances/N100T15/N100T15P1W10DD_SF4.dat,esls,0.0,0.0,1.5,15.0,10.0,100.0,283720.88032699976,283720.88032699976,0.0,5.730876922607422,2926.0,1.0,rffoesls,0.0,3.0,2.0,60.0,283765.36431,16.070217272,3.0,2.0,2.0,600.0,0.0,1.0,283720.880327,74.550081034,12.0,8.206327408314917e-14,0.01567632579407651,-8.206327408314923e-14,-2.3283064365386963e-10,1.0,0.0
