NR;NT;NW;capacity;balanced;fixsizerf;freeintervalrf;maxtimerf;bestsol;elapsedtime
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;2.0;1;4;3;120;464332.5856140591;60.982798078
instances/N50T15/N50T15P1W20SD_SF1.dat;50;15;20;2.0;1;4;3;120;582933.3388789997;61.351030349000006
instances/N50T30/N50T30P1W5SD_DF3.dat;50;30;5;2.0;1;4;3;120;736339.4828400002;11.603410377000001
instances/N50T30/N50T30P1W10DD_DF10.dat;50;30;10;2.0;1;4;3;120;810257.4291703335;33.524646291
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;2.0;1;4;3;120;438792.14753966685;39.990926666
instances/N100T15/N100T15P1W10SD_SF9.dat;100;15;10;2.0;1;4;3;120;590873.7982569996;63.044369200000006
instances/N100T30/N100T30P1W10SD_DF6.dat;100;30;10;2.0;1;4;3;120;949551.787363999;85.608711765
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;2.0;1;4;3;120;1.079409480223999e6;92.82381453100001
instances/N200T30/N200T30P1W5SD_SF9.dat;200;30;5;2.0;1;4;3;120;1.1842753127810003e6;80.566465705
instances/N200T30/N200T30P1W15DD_DF1.dat;200;30;15;2.0;1;4;3;120;1.2561321587489971e6;96.013578294
