NR;NT;NW;capacity;balanced;fixsizerf;freeintervalrf;maxtimerf;bestsol;elapsedtime
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;2.0;0;3;4;120;452290.20024699986;30.531264935
instances/N50T15/N50T15P1W20SD_SF1.dat;50;15;20;2.0;0;3;4;120;579570.6829709999;40.604609309
instances/N50T30/N50T30P1W5SD_DF3.dat;50;30;5;2.0;0;3;4;120;703440.1613079996;10.152858749
instances/N50T30/N50T30P1W10DD_DF10.dat;50;30;10;2.0;0;3;4;120;786395.1592203333;36.082336139
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;2.0;0;3;4;120;408544.4133683325;27.262100532
instances/N100T15/N100T15P1W10SD_SF9.dat;100;15;10;2.0;0;3;4;120;553138.8576849997;54.45772026
instances/N100T30/N100T30P1W10SD_DF6.dat;100;30;10;2.0;0;3;4;120;896056.8748289997;81.875978214
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;2.0;0;3;4;120;1.0162464002573325e6;97.746831012
instances/N200T30/N200T30P1W5SD_SF9.dat;200;30;5;2.0;0;3;4;120;1.1431485928949956e6;103.850285524
instances/N200T30/N200T30P1W15DD_DF1.dat;200;30;15;2.0;0;3;4;120;1.152629752981996e6;96.32872057300001
