NR;NT;NW;capacity;balanced;fixsizerf;freeintervalrf;maxtimerf;bestsol;elapsedtime
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;1.75;1;3;4;120;503705.9191943333;53.654385440000006
instances/N50T15/N50T15P1W20SD_SF1.dat;50;15;20;1.75;1;3;4;120;627697.9752669998;50.550936816000004
instances/N50T30/N50T30P1W5SD_DF3.dat;50;30;5;1.75;1;3;4;120;848740.2718839998;17.756786105
instances/N50T30/N50T30P1W10DD_DF10.dat;50;30;10;1.75;1;3;4;120;933852.4397053332;34.415548208000004
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;1.75;1;3;4;120;475658.6664119994;57.041456556
instances/N100T15/N100T15P1W10SD_SF9.dat;100;15;10;1.75;1;3;4;120;636546.8472779983;73.878785648
instances/N100T30/N100T30P1W10SD_DF6.dat;100;30;10;1.75;1;3;4;120;1.0644412355849976e6;69.677670748
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;1.75;1;3;4;120;1.187535019034332e6;98.055857141
instances/N200T30/N200T30P1W5SD_SF9.dat;200;30;5;1.75;1;3;4;120;1.3316357406649955e6;108.60630745300001
instances/N200T30/N200T30P1W15DD_DF1.dat;200;30;15;1.75;1;3;4;120;1.369424618880996e6;101.37405484899999
