NR;NT;NW;capacity;balanced;fixsizerf;freeintervalrf;maxtimerf;bestsol;elapsedtime
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;1.5;1;2;4;120;552112.787984;48.836355128
instances/N50T15/N50T15P1W20SD_SF1.dat;50;15;20;1.5;1;2;4;120;691547.0803299999;47.167233903
instances/N50T30/N50T30P1W5SD_DF3.dat;50;30;5;1.5;1;2;4;120;932151.5636070004;15.603199361000001
instances/N50T30/N50T30P1W10DD_DF10.dat;50;30;10;1.5;1;2;4;120;1.0255946177939998e6;33.835703101
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;1.5;1;2;4;120;514890.45109199965;35.57268916499999
instances/N100T15/N100T15P1W10SD_SF9.dat;100;15;10;1.5;1;2;4;120;689495.3419449996;67.148398582
instances/N100T30/N100T30P1W10SD_DF6.dat;100;30;10;1.5;1;2;4;120;1.1372559769209982e6;72.33543868699999
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;1.5;1;2;4;120;1.2651122932609976e6;98.21384420999999
instances/N200T30/N200T30P1W5SD_SF9.dat;200;30;5;1.5;1;2;4;120;1.418421687414429e6;104.742903278
instances/N200T30/N200T30P1W15DD_DF1.dat;200;30;15;1.5;1;2;4;120;1.4493172964889929e6;102.146624104
