NR;NT;NW;capacity;balanced;fixsizerf;freeintervalrf;maxtimerf;bestsol;elapsedtime
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;1.5;1;2;3;120;551066.9199130001;32.62118176599999
instances/N50T15/N50T15P1W20SD_SF1.dat;50;15;20;1.5;1;2;3;120;692675.0144359999;49.128136277
instances/N50T30/N50T30P1W5SD_DF3.dat;50;30;5;1.5;1;2;3;120;940370.4137820003;13.988644738
instances/N50T30/N50T30P1W10DD_DF10.dat;50;30;10;1.5;1;2;3;120;1.0267915740639999e6;17.151036194
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;1.5;1;2;3;120;516372.32081999944;19.812636258999998
instances/N100T15/N100T15P1W10SD_SF9.dat;100;15;10;1.5;1;2;3;120;690142.1544929999;49.322836465
instances/N100T30/N100T30P1W10SD_DF6.dat;100;30;10;1.5;1;2;3;120;1.1332072688530013e6;47.064848588
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;1.5;1;2;3;120;1.2806283108740002e6;99.204568028
instances/N200T30/N200T30P1W5SD_SF9.dat;200;30;5;1.5;1;2;3;120;1.4026175790278516e6;105.74890263100002
instances/N200T30/N200T30P1W15DD_DF1.dat;200;30;15;1.5;1;2;3;120;1.4541944038526625e6;106.587390414
