NR;NT;NW;capacity;balanced;fixsizerf;freeintervalrf;maxtimerf;bestsol;elapsedtime
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;1.5;1;3;4;120;549885.510278;52.717552166000004
instances/N50T15/N50T15P1W20SD_SF1.dat;50;15;20;1.5;1;3;4;120;687568.4153839999;60.683013249999995
instances/N50T30/N50T30P1W5SD_DF3.dat;50;30;5;1.5;1;3;4;120;933870.3195000003;17.085047814
instances/N50T30/N50T30P1W10DD_DF10.dat;50;30;10;1.5;1;3;4;120;1.0240448776519998e6;57.907514158
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;1.5;1;3;4;120;514212.5956069993;74.55314541999999
instances/N100T15/N100T15P1W10SD_SF9.dat;100;15;10;1.5;1;3;4;120;690369.8389249987;73.67713391299999
instances/N100T30/N100T30P1W10SD_DF6.dat;100;30;10;1.5;1;3;4;120;1.1375685315145003e6;94.66017564900001
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;1.5;1;3;4;120;1.259580052118999e6;107.569024181
instances/N200T30/N200T30P1W5SD_SF9.dat;200;30;5;1.5;1;3;4;120;1.4067106420969944e6;108.64965616200001
instances/N200T30/N200T30P1W15DD_DF1.dat;200;30;15;1.5;1;3;4;120;1.4561788034179965e6;103.75873227
