NR;NT;NW;capacity;balanced;fixsizerf;freeintervalrf;maxtimerf;bestsol;elapsedtime
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;1.5;1;3;2;120;550739.6142630001;27.646271022999997
instances/N50T15/N50T15P1W20SD_SF1.dat;50;15;20;1.5;1;3;2;120;696666.7431999998;56.237225508
instances/N50T30/N50T30P1W5SD_DF3.dat;50;30;5;1.5;1;3;2;120;935170.5999370002;9.188422831
instances/N50T30/N50T30P1W10DD_DF10.dat;50;30;10;1.5;1;3;2;120;1.0271295834499995e6;12.352327323999999
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;1.5;1;3;2;120;514969.0803889997;13.284047358999999
instances/N100T15/N100T15P1W10SD_SF9.dat;100;15;10;1.5;1;3;2;120;690621.4258519999;53.100709613999996
instances/N100T30/N100T30P1W10SD_DF6.dat;100;30;10;1.5;1;3;2;120;1.1345187532490015e6;54.046922298000005
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;1.5;1;3;2;120;1.2609165090129985e6;98.666579299
instances/N200T30/N200T30P1W5SD_SF9.dat;200;30;5;1.5;1;3;2;120;1.4001680533970003e6;101.46230669199998
instances/N200T30/N200T30P1W15DD_DF1.dat;200;30;15;1.5;1;3;2;120;1.4531027578910002e6;105.52813899399997
