NR;NT;NW;capacity;balanced;fixsizerf;freeintervalrf;maxtimerf;bestsol;elapsedtime
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;1.5;1;2;2;120;552925.526648;18.510031337
instances/N50T15/N50T15P1W20SD_SF1.dat;50;15;20;1.5;1;2;2;120;691633.7767559998;28.01029412
instances/N50T30/N50T30P1W5SD_DF3.dat;50;30;5;1.5;1;2;2;120;941393.3540430004;9.540635131000002
instances/N50T30/N50T30P1W10DD_DF10.dat;50;30;10;1.5;1;2;2;120;1.0420705879470002e6;13.498810204999998
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;1.5;1;2;2;120;515430.6168969994;7.771635303
instances/N100T15/N100T15P1W10SD_SF9.dat;100;15;10;1.5;1;2;2;120;693217.441323;38.333425326000004
instances/N100T30/N100T30P1W10SD_DF6.dat;100;30;10;1.5;1;2;2;120;1.141665485073001e6;27.901425353999997
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;1.5;1;2;2;120;1.2811337643379979e6;83.896446402
instances/N200T30/N200T30P1W5SD_SF9.dat;200;30;5;1.5;1;2;2;120;1.4005642510540006e6;88.917272952
instances/N200T30/N200T30P1W15DD_DF1.dat;200;30;15;1.5;1;2;2;120;1.4559759462089941e6;92.28143035100001
