NR;NT;NW;capacity;balanced;fixsizerf;freeintervalrf;maxtimerf;bestsol;elapsedtime
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;1.75;1;3;2;120;507504.2578793333;32.392116945
instances/N50T15/N50T15P1W20SD_SF1.dat;50;15;20;1.75;1;3;2;120;629100.0536999998;44.054873486000005
instances/N50T30/N50T30P1W5SD_DF3.dat;50;30;5;1.75;1;3;2;120;852800.9707040007;8.775835897
instances/N50T30/N50T30P1W10DD_DF10.dat;50;30;10;1.75;1;3;2;120;940582.852361;18.103790933
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;1.75;1;3;2;120;473409.7336489999;8.465584385
instances/N100T15/N100T15P1W10SD_SF9.dat;100;15;10;1.75;1;3;2;120;638608.257981;37.591852169999996
instances/N100T30/N100T30P1W10SD_DF6.dat;100;30;10;1.75;1;3;2;120;1.0681930106204995e6;39.459975301
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;1.75;1;3;2;120;1.1978662027249988e6;102.011240742
instances/N200T30/N200T30P1W5SD_SF9.dat;200;30;5;1.75;1;3;2;120;1.3158157540449954e6;98.89508427900002
instances/N200T30/N200T30P1W15DD_DF1.dat;200;30;15;1.75;1;3;2;120;1.3691574261019903e6;98.391135265
