NR;NT;NW;capacity;balanced;fixsizerf;freeintervalrf;maxtimerf;bestsol;elapsedtime
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;2.0;0;3;2;120;451998.637131;6.793622152
instances/N50T15/N50T15P1W20SD_SF1.dat;50;15;20;2.0;0;3;2;120;575327.5514779999;23.803248354999997
instances/N50T30/N50T30P1W5SD_DF3.dat;50;30;5;2.0;0;3;2;120;706035.1902460004;6.412935587999999
instances/N50T30/N50T30P1W10DD_DF10.dat;50;30;10;2.0;0;3;2;120;788020.4522459996;8.98484428
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;2.0;0;3;2;120;406540.16007;8.343716479
instances/N100T15/N100T15P1W10SD_SF9.dat;100;15;10;2.0;0;3;2;120;551594.4494169992;20.705790724
instances/N100T30/N100T30P1W10SD_DF6.dat;100;30;10;2.0;0;3;2;120;896026.3126489976;25.362379611
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;2.0;0;3;2;120;1.0152507286916656e6;79.52263502100001
instances/N200T30/N200T30P1W5SD_SF9.dat;200;30;5;2.0;0;3;2;120;1.144121493374999e6;66.660740557
instances/N200T30/N200T30P1W15DD_DF1.dat;200;30;15;2.0;0;3;2;120;1.1497187692179997e6;73.87604392400002
