NR;NT;NW;capacity;balanced;fixsizerf;freeintervalrf;maxtimerf;bestsol;elapsedtime
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;1.5;1;4;4;120;550069.833224;60.934609481
instances/N50T15/N50T15P1W20SD_SF1.dat;50;15;20;1.5;1;4;4;120;688783.9159599999;61.345850797000004
instances/N50T30/N50T30P1W5SD_DF3.dat;50;30;5;1.5;1;4;4;120;930530.1158790005;20.845049512
instances/N50T30/N50T30P1W10DD_DF10.dat;50;30;10;1.5;1;4;4;120;1.0244780138109998e6;70.39551452399999
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;1.5;1;4;4;120;513917.9758089991;64.11101983
instances/N100T15/N100T15P1W10SD_SF9.dat;100;15;10;1.5;1;4;4;120;692565.9697479992;69.145977609
instances/N100T30/N100T30P1W10SD_DF6.dat;100;30;10;1.5;1;4;4;120;1.1348620476179984e6;93.06451243000001
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;1.5;1;4;4;120;1.266322310438998e6;93.051349813
instances/N200T30/N200T30P1W5SD_SF9.dat;200;30;5;1.5;1;4;4;120;1.417697180423498e6;98.242304007
instances/N200T30/N200T30P1W15DD_DF1.dat;200;30;15;1.5;1;4;4;120;1.4629329345029984e6;94.35130043699999
