NR;NT;NW;capacity;balanced;fixsizerf;freeintervalrf;maxtimerf;bestsol;elapsedtime
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;1.5;1;3;3;120;550262.9274599999;35.405940179
instances/N50T15/N50T15P1W20SD_SF1.dat;50;15;20;1.5;1;3;3;120;692478.2784719998;54.364311892
instances/N50T30/N50T30P1W5SD_DF3.dat;50;30;5;1.5;1;3;3;120;933178.1997660006;10.118225911
instances/N50T30/N50T30P1W10DD_DF10.dat;50;30;10;1.5;1;3;3;120;1.0296977823519995e6;20.782999094
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;1.5;1;3;3;120;513662.9168519998;22.821395260000003
instances/N100T15/N100T15P1W10SD_SF9.dat;100;15;10;1.5;1;3;3;120;689158.7732079995;55.292142936
instances/N100T30/N100T30P1W10SD_DF6.dat;100;30;10;1.5;1;3;3;120;1.136652504468e6;55.021929574
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;1.5;1;3;3;120;1.2702815029519983e6;98.88307547299998
instances/N200T30/N200T30P1W5SD_SF9.dat;200;30;5;1.5;1;3;3;120;1.3986411544979897e6;97.024150445
instances/N200T30/N200T30P1W15DD_DF1.dat;200;30;15;1.5;1;3;3;120;1.4516823812659946e6;103.847514598
