NR;NT;NW;capacity;balanced;fixsizerf;freeintervalrf;maxtimerf;bestsol;elapsedtime
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;2.0;1;3;4;120;463936.36553166667;65.51556522999999
instances/N50T15/N50T15P1W20SD_SF1.dat;50;15;20;2.0;1;3;4;120;579957.3650539998;53.980398779
instances/N50T30/N50T30P1W5SD_DF3.dat;50;30;5;2.0;1;3;4;120;738183.5488809999;12.813334744999999
instances/N50T30/N50T30P1W10DD_DF10.dat;50;30;10;2.0;1;3;4;120;808073.3300236668;34.871413957
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;2.0;1;3;4;120;439261.11660066573;39.174424126000005
instances/N100T15/N100T15P1W10SD_SF9.dat;100;15;10;2.0;1;3;4;120;592564.7821109998;73.860093985
instances/N100T30/N100T30P1W10SD_DF6.dat;100;30;10;2.0;1;3;4;120;945316.0515239974;87.130333683
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;2.0;1;3;4;120;1.0922252464573318e6;102.581830256
instances/N200T30/N200T30P1W5SD_SF9.dat;200;30;5;2.0;1;3;4;120;1.1792403629850019e6;94.436761135
instances/N200T30/N200T30P1W15DD_DF1.dat;200;30;15;2.0;1;3;4;120;1.2545254243829923e6;103.99696385499999
