NR;NT;NW;capacity;balanced;fixsizerf;freeintervalrf;maxtimerf;bestsol;elapsedtime
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;1.75;1;2;2;120;505045.3379719962;17.300803845999997
instances/N50T15/N50T15P1W20SD_SF1.dat;50;15;20;1.75;1;2;2;120;635265.8323629998;25.728543208000005
instances/N50T30/N50T30P1W5SD_DF3.dat;50;30;5;1.75;1;2;2;120;856322.6165049993;9.642818698
instances/N50T30/N50T30P1W10DD_DF10.dat;50;30;10;1.75;1;2;2;120;951010.1902182006;15.524110858999999
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;1.75;1;2;2;120;478937.5703400001;7.631600069999999
instances/N100T15/N100T15P1W10SD_SF9.dat;100;15;10;1.75;1;2;2;120;641929.4396159993;28.039696090000003
instances/N100T30/N100T30P1W10SD_DF6.dat;100;30;10;1.75;1;2;2;120;1.0799079266139986e6;38.542443972
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;1.75;1;2;2;120;1.198800330119e6;74.869183285
instances/N200T30/N200T30P1W5SD_SF9.dat;200;30;5;1.75;1;2;2;120;1.316110495163995e6;84.344528025
instances/N200T30/N200T30P1W15DD_DF1.dat;200;30;15;1.75;1;2;2;120;1.370528511209996e6;91.94399561899999
