NR;NT;NW;capacity;balanced;fixsizerf;freeintervalrf;maxtimerf;bestsol;elapsedtime
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;2.0;0;2;3;120;453778.0331139999;10.110604315
instances/N50T15/N50T15P1W20SD_SF1.dat;50;15;20;2.0;0;2;3;120;574927.1154409999;38.442650458
instances/N50T30/N50T30P1W5SD_DF3.dat;50;30;5;2.0;0;2;3;120;703877.6727679993;10.9322583
instances/N50T30/N50T30P1W10DD_DF10.dat;50;30;10;2.0;0;2;3;120;798992.018191;14.593355358
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;2.0;0;2;3;120;406331.30008899886;8.037855875
instances/N100T15/N100T15P1W10SD_SF9.dat;100;15;10;2.0;0;2;3;120;552166.5649859998;26.131625494
instances/N100T30/N100T30P1W10SD_DF6.dat;100;30;10;2.0;0;2;3;120;893860.5717789987;53.122336245
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;2.0;0;2;3;120;1.0150309540843328e6;89.202121371
instances/N200T30/N200T30P1W5SD_SF9.dat;200;30;5;2.0;0;2;3;120;1.1494092025769944e6;80.74551219499999
instances/N200T30/N200T30P1W15DD_DF1.dat;200;30;15;2.0;0;2;3;120;1.1531127442289968e6;96.57094365100001
