NR;NT;NW;capacity;balanced;fixsizerf;freeintervalrf;maxtimerf;bestsol;elapsedtime
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;1.5;0;4;4;120;537921.2144899992;44.957680463
instances/N50T15/N50T15P1W20SD_SF1.dat;50;15;20;1.5;0;4;4;120;685230.4378399998;61.082352475
instances/N50T30/N50T30P1W5SD_DF3.dat;50;30;5;1.5;0;4;4;120;900047.3776080004;10.783547575000002
instances/N50T30/N50T30P1W10DD_DF10.dat;50;30;10;1.5;0;4;4;120;990564.4349289997;44.921441256
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;1.5;0;4;4;120;480631.27857599873;65.436281123
instances/N100T15/N100T15P1W10SD_SF9.dat;100;15;10;1.5;0;4;4;120;652455.9935349997;75.59951645199999
instances/N100T30/N100T30P1W10SD_DF6.dat;100;30;10;1.5;0;4;4;120;1.0893873052789997e6;92.717150397
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;1.5;0;4;4;120;1.187226874999999e6;92.40032021
instances/N200T30/N200T30P1W5SD_SF9.dat;200;30;5;1.5;0;4;4;120;1.3462834321599924e6;96.781073543
instances/N200T30/N200T30P1W15DD_DF1.dat;200;30;15;1.5;0;4;4;120;1.3433526486759887e6;94.259913658
