NR;NT;NW;capacity;balanced;fixsizerf;freeintervalrf;maxtimerf;bestsol;elapsedtime
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;2.0;0;2;2;120;454330.3972663332;4.516889108
instances/N50T15/N50T15P1W20SD_SF1.dat;50;15;20;2.0;0;2;2;120;581876.9700849999;15.296171107
instances/N50T30/N50T30P1W5SD_DF3.dat;50;30;5;2.0;0;2;2;120;705402.8733269998;8.402169783000002
instances/N50T30/N50T30P1W10DD_DF10.dat;50;30;10;2.0;0;2;2;120;801818.2434303336;10.086648626
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;2.0;0;2;2;120;409570.30035899894;5.671336296
instances/N100T15/N100T15P1W10SD_SF9.dat;100;15;10;2.0;0;2;2;120;558172.2949889998;9.703607338
instances/N100T30/N100T30P1W10SD_DF6.dat;100;30;10;2.0;0;2;2;120;900308.140679001;22.179165710000003
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;2.0;0;2;2;120;1.0345560938366672e6;57.382385895
instances/N200T30/N200T30P1W5SD_SF9.dat;200;30;5;2.0;0;2;2;120;1.139720288959998e6;59.399595565
instances/N200T30/N200T30P1W15DD_DF1.dat;200;30;15;2.0;0;2;2;120;1.1508177390949954e6;65.92815690100001
