NR;NT;NW;capacity;balanced;fixsizerf;freeintervalrf;maxtimerf;bestsol;elapsedtime
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;2.0;1;2;3;120;469630.9607573333;33.286980926
instances/N50T15/N50T15P1W20SD_SF1.dat;50;15;20;2.0;1;2;3;120;583644.2379469998;41.079828004999996
instances/N50T30/N50T30P1W5SD_DF3.dat;50;30;5;2.0;1;2;3;120;739027.1200800006;12.111085995999998
instances/N50T30/N50T30P1W10DD_DF10.dat;50;30;10;2.0;1;2;3;120;812872.7083043328;16.962627332
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;2.0;1;2;3;120;439676.4773659998;12.69021556
instances/N100T15/N100T15P1W10SD_SF9.dat;100;15;10;2.0;1;2;3;120;593264.5818239988;63.762103117
instances/N100T30/N100T30P1W10SD_DF6.dat;100;30;10;2.0;1;2;3;120;947203.418167998;45.298741017
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;2.0;1;2;3;120;1.0887006287329977e6;97.18073802400001
instances/N200T30/N200T30P1W5SD_SF9.dat;200;30;5;2.0;1;2;3;120;1.1792403629850016e6;51.276972733
instances/N200T30/N200T30P1W15DD_DF1.dat;200;30;15;2.0;1;2;3;120;1.2479456463199996e6;105.239954546
