NR;NT;NW;capacity;balanced;fixsizerf;freeintervalrf;maxtimerf;bestsol;elapsedtime
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;1.5;0;3;2;120;538934.5536849999;8.530445799999999
instances/N50T15/N50T15P1W20SD_SF1.dat;50;15;20;1.5;0;3;2;120;689567.9201179998;55.158902018
instances/N50T30/N50T30P1W5SD_DF3.dat;50;30;5;1.5;0;3;2;120;904290.3346050007;10.108429573
instances/N50T30/N50T30P1W10DD_DF10.dat;50;30;10;1.5;0;3;2;120;1.001939634046e6;11.598484411000001
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;1.5;0;3;2;120;481348.5689669985;15.553637963
instances/N100T15/N100T15P1W10SD_SF9.dat;100;15;10;1.5;0;3;2;120;651558.0944909996;19.340632231
instances/N100T30/N100T30P1W10SD_DF6.dat;100;30;10;1.5;0;3;2;120;1.0884077878710008e6;30.679134796
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;1.5;0;3;2;120;1.1925639576499993e6;81.656324107
instances/N200T30/N200T30P1W5SD_SF9.dat;200;30;5;1.5;0;3;2;120;1.3472364350430002e6;106.16242723699999
instances/N200T30/N200T30P1W15DD_DF1.dat;200;30;15;1.5;0;3;2;120;1.3492606303110004e6;91.932325507
