NR;NT;NW;capacity;balanced;fixsizerf;freeintervalrf;maxtimerf;bestsol;elapsedtime
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;2.0;0;4;4;120;452322.9383226666;29.898029711
instances/N50T15/N50T15P1W20SD_SF1.dat;50;15;20;2.0;0;4;4;120;575903.8602839994;48.753789529
instances/N50T30/N50T30P1W5SD_DF3.dat;50;30;5;2.0;0;4;4;120;705351.9228870005;10.955021742000001
instances/N50T30/N50T30P1W10DD_DF10.dat;50;30;10;2.0;0;4;4;120;787034.6759049997;53.929995024
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;2.0;0;4;4;120;406299.9461023313;37.705311140000006
instances/N100T15/N100T15P1W10SD_SF9.dat;100;15;10;2.0;0;4;4;120;553181.5037979997;62.171365841000004
instances/N100T30/N100T30P1W10SD_DF6.dat;100;30;10;2.0;0;4;4;120;896719.1298129994;74.54647624799999
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;2.0;0;4;4;120;1.0240591300943326e6;92.924860025
instances/N200T30/N200T30P1W5SD_SF9.dat;200;30;5;2.0;0;4;4;120;1.136006577535e6;76.785444367
instances/N200T30/N200T30P1W15DD_DF1.dat;200;30;15;2.0;0;4;4;120;1.157944604721961e6;105.68729925499999
