NR;NT;NW;capacity;balanced;fixsizerf;freeintervalrf;maxtimerf;bestsol;elapsedtime
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;1.75;1;4;4;120;504588.05885533267;61.322591606
instances/N50T15/N50T15P1W20SD_SF1.dat;50;15;20;1.75;1;4;4;120;628375.0507789998;60.933154592
instances/N50T30/N50T30P1W5SD_DF3.dat;50;30;5;1.75;1;4;4;120;846527.7530830002;27.640899966000003
instances/N50T30/N50T30P1W10DD_DF10.dat;50;30;10;1.75;1;4;4;120;933664.336956333;55.89554970299999
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;1.75;1;4;4;120;475700.4450339982;63.176376054
instances/N100T15/N100T15P1W10SD_SF9.dat;100;15;10;1.75;1;4;4;120;637909.2643129996;63.08116860599999
instances/N100T30/N100T30P1W10SD_DF6.dat;100;30;10;1.75;1;4;4;120;1.0534355446559996e6;92.22422084
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;1.75;1;4;4;120;1.2010867941923316e6;92.31783263999999
instances/N200T30/N200T30P1W5SD_SF9.dat;200;30;5;1.75;1;4;4;120;1.329311763392996e6;105.629336349
instances/N200T30/N200T30P1W15DD_DF1.dat;200;30;15;1.75;1;4;4;120;1.3835899362399944e6;94.949768069
