NR;NT;NW;capacity;balanced;fixsizerf;freeintervalrf;maxtimerf;bestsol;elapsedtime
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;1.75;0;4;3;120;492069.5699616666;21.472246061
instances/N50T15/N50T15P1W20SD_SF1.dat;50;15;20;1.75;0;4;3;120;622074.5497499998;42.471053597
instances/N50T30/N50T30P1W5SD_DF3.dat;50;30;5;1.75;0;4;3;120;817102.4725060001;8.756815834
instances/N50T30/N50T30P1W10DD_DF10.dat;50;30;10;1.75;0;4;3;120;905739.4495649996;32.04575621
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;1.75;0;4;3;120;441957.748910332;27.384978128
instances/N100T15/N100T15P1W10SD_SF9.dat;100;15;10;1.75;0;4;3;120;599867.5563979999;58.913389767
instances/N100T30/N100T30P1W10SD_DF6.dat;100;30;10;1.75;0;4;3;120;1.0208865851309982e6;74.837336386
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;1.75;0;4;3;120;1.118756065125333e6;92.603089131
instances/N200T30/N200T30P1W5SD_SF9.dat;200;30;5;1.75;0;4;3;120;1.2404942919639968e6;90.312302666
instances/N200T30/N200T30P1W15DD_DF1.dat;200;30;15;1.75;0;4;3;120;1.259549756006998e6;95.506165201
