NR;NT;NW;capacity;balanced;fixsizerf;freeintervalrf;maxtimerf;bestsol;elapsedtime
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;1.5;0;4;3;120;537916.194467;29.637386972999998
instances/N50T15/N50T15P1W20SD_SF1.dat;50;15;20;1.5;0;4;3;120;689004.8481419999;52.719555479
instances/N50T30/N50T30P1W5SD_DF3.dat;50;30;5;1.5;0;4;3;120;902565.7589310005;9.374555753
instances/N50T30/N50T30P1W10DD_DF10.dat;50;30;10;1.5;0;4;3;120;1.0002091028479998e6;35.995786291
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;1.5;0;4;3;120;481926.57081099926;46.043270080000006
instances/N100T15/N100T15P1W10SD_SF9.dat;100;15;10;1.5;0;4;3;120;650828.2605821997;61.409919666
instances/N100T30/N100T30P1W10SD_DF6.dat;100;30;10;1.5;0;4;3;120;1.088768808036999e6;63.915385299
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;1.5;0;4;3;120;1.190047178798999e6;92.879865349
instances/N200T30/N200T30P1W5SD_SF9.dat;200;30;5;1.5;0;4;3;120;1.347425458559994e6;94.301843702
instances/N200T30/N200T30P1W15DD_DF1.dat;200;30;15;1.5;0;4;3;120;1.3530722880709965e6;95.43502973400001
