NR;NT;NW;capacity;balanced;fixsizerf;freeintervalrf;maxtimerf;bestsol;elapsedtime
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;1.75;0;4;2;120;491219.2634573334;12.406406593
instances/N50T15/N50T15P1W20SD_SF1.dat;50;15;20;1.75;0;4;2;120;623956.5439519999;61.10662194099999
instances/N50T30/N50T30P1W5SD_DF3.dat;50;30;5;1.75;0;4;2;120;817832.6254250001;6.97813146
instances/N50T30/N50T30P1W10DD_DF10.dat;50;30;10;1.75;0;4;2;120;909235.1479376663;21.897486948
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;1.75;0;4;2;120;444042.79523366515;12.853318426
instances/N100T15/N100T15P1W10SD_SF9.dat;100;15;10;1.75;0;4;2;120;600732.5024849998;38.898271876
instances/N100T30/N100T30P1W10SD_DF6.dat;100;30;10;1.75;0;4;2;120;1.0168771304999994e6;67.16647559100001
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;1.75;0;4;2;120;1.1108297729086657e6;83.17064197999998
instances/N200T30/N200T30P1W5SD_SF9.dat;200;30;5;1.75;0;4;2;120;1.240690550553996e6;87.609752971
instances/N200T30/N200T30P1W15DD_DF1.dat;200;30;15;1.75;0;4;2;120;1.2650943098579925e6;97.010437358
