NR;NT;NW;capacity;balanced;fixsizerf;freeintervalrf;maxtimerf;bestsol;elapsedtime
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;2.0;1;2;4;120;462651.6720606666;44.390518777
instances/N50T15/N50T15P1W20SD_SF1.dat;50;15;20;2.0;1;2;4;120;579964.8123319999;51.932951417
instances/N50T30/N50T30P1W5SD_DF3.dat;50;30;5;2.0;1;2;4;120;737441.1845110003;12.113242309
instances/N50T30/N50T30P1W10DD_DF10.dat;50;30;10;2.0;1;2;4;120;808506.0144573334;20.681660350999998
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;2.0;1;2;4;120;439549.32762599934;23.246049153
instances/N100T15/N100T15P1W10SD_SF9.dat;100;15;10;2.0;1;2;4;120;591920.5900109985;45.140778987
instances/N100T30/N100T30P1W10SD_DF6.dat;100;30;10;2.0;1;2;4;120;948909.5130609962;55.952174297
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;2.0;1;2;4;120;1.0850503695919998e6;99.125927149
instances/N200T30/N200T30P1W5SD_SF9.dat;200;30;5;2.0;1;2;4;120;1.1792403629850019e6;37.264913768
instances/N200T30/N200T30P1W15DD_DF1.dat;200;30;15;2.0;1;2;4;120;1.2699086726749947e6;104.727728902
