instance;NR;NT;NW;capacity;balanced;fixsizerf;freeintervalrf;maxtimerf;bestsol;elapsedtime
instances/N50T15/N50T15P1W5DD_SF6.dat;50;15;5;2.0;0;4;3;120;406154.6024216665;4.246378561
instances/N50T15/N50T15P1W5DD_SF7.dat;50;15;5;2.0;0;4;3;120;422534.13383966585;5.776473644
instances/N50T15/N50T15P1W5DD_SF8.dat;50;15;5;2.0;0;4;3;120;446721.53909699986;4.455658982
instances/N50T15/N50T15P1W5DD_SF9.dat;50;15;5;2.0;0;4;3;120;345278.4957529998;3.30394065
instances/N50T15/N50T15P1W5DD_SF10.dat;50;15;5;2.0;0;4;3;120;441375.37701199885;2.146116357
instances/N50T15/N50T15P1W10DD_SF6.dat;50;15;10;2.0;0;4;3;120;438696.3433230008;10.671979397999998
instances/N50T15/N50T15P1W10DD_SF7.dat;50;15;10;2.0;0;4;3;120;418831.31297999993;12.664414573
instances/N50T15/N50T15P1W10DD_SF8.dat;50;15;10;2.0;0;4;3;120;431026.40207266656;21.489986617
instances/N50T15/N50T15P1W10DD_SF9.dat;50;15;10;2.0;0;4;3;120;411083.0208699999;9.825057063000001
instances/N50T15/N50T15P1W10DD_SF10.dat;50;15;10;2.0;0;4;3;120;459586.65198599984;11.477675167000001
instances/N50T15/N50T15P1W15DD_SF6.dat;50;15;15;2.0;0;4;3;120;478220.24117999984;16.142187525
instances/N50T15/N50T15P1W15DD_SF7.dat;50;15;15;2.0;0;4;3;120;446626.226872;29.789894994
instances/N50T15/N50T15P1W15DD_SF8.dat;50;15;15;2.0;0;4;3;120;464181.23930466635;12.682135195
instances/N50T15/N50T15P1W15DD_SF9.dat;50;15;15;2.0;0;4;3;120;446028.0688116662;9.991851340999998
instances/N50T15/N50T15P1W15DD_SF10.dat;50;15;15;2.0;0;4;3;120;466285.6251729997;26.202643826
instances/N50T15/N50T15P1W20DD_SF6.dat;50;15;20;2.0;0;4;3;120;501230.83936099935;42.80170175
instances/N50T15/N50T15P1W20DD_SF7.dat;50;15;20;2.0;0;4;3;120;524299.972905;36.259186097000004
instances/N50T15/N50T15P1W20DD_SF8.dat;50;15;20;2.0;0;4;3;120;522246.1231319999;22.592073948
instances/N50T15/N50T15P1W20DD_SF9.dat;50;15;20;2.0;0;4;3;120;471953.72014799993;36.072741708
instances/N50T15/N50T15P1W20DD_SF10.dat;50;15;20;2.0;0;4;3;120;559583.0217879998;38.928167300000005
instances/N50T30/N50T30P1W5DD_SF6.dat;50;30;5;2.0;0;4;3;120;682612.8317529997;11.411256059999998
instances/N50T30/N50T30P1W5DD_SF7.dat;50;30;5;2.0;0;4;3;120;691949.4273529996;31.471794015000004
instances/N50T30/N50T30P1W5DD_SF8.dat;50;30;5;2.0;0;4;3;120;661429.654836;13.067173399
instances/N50T30/N50T30P1W5DD_SF9.dat;50;30;5;2.0;0;4;3;120;855749.8606750001;18.105251099000004
instances/N50T30/N50T30P1W5DD_SF10.dat;50;30;5;2.0;0;4;3;120;723822.4308973331;19.593190626
instances/N50T30/N50T30P1W10DD_SF6.dat;50;30;10;2.0;0;4;3;120;912577.989294;70.648792176
instances/N50T30/N50T30P1W10DD_SF7.dat;50;30;10;2.0;0;4;3;120;901867.472787;57.744246497000006
instances/N50T30/N50T30P1W10DD_SF8.dat;50;30;10;2.0;0;4;3;120;829903.2192059999;56.10676501
instances/N50T30/N50T30P1W10DD_SF9.dat;50;30;10;2.0;0;4;3;120;935695.6615900001;43.562427028
instances/N50T30/N50T30P1W10DD_SF10.dat;50;30;10;2.0;0;4;3;120;880316.2203723332;37.148335843
instances/N50T30/N50T30P1W15DD_SF6.dat;50;30;15;2.0;0;4;3;120;977042.5006713332;76.15145919900002
instances/N50T30/N50T30P1W15DD_SF7.dat;50;30;15;2.0;0;4;3;120;919203.5352149999;70.88087754799999
instances/N50T30/N50T30P1W15DD_SF8.dat;50;30;15;2.0;0;4;3;120;963979.455235;72.057965115
instances/N50T30/N50T30P1W15DD_SF9.dat;50;30;15;2.0;0;4;3;120;838251.6369173334;77.753558708
instances/N50T30/N50T30P1W15DD_SF10.dat;50;30;15;2.0;0;4;3;120;969954.8918166663;83.635138976
instances/N50T30/N50T30P1W20DD_SF6.dat;50;30;20;2.0;0;4;3;120;886418.9470713334;83.53467837400001
instances/N50T30/N50T30P1W20DD_SF7.dat;50;30;20;2.0;0;4;3;120;1.0609234090609998e6;79.454421216
instances/N50T30/N50T30P1W20DD_SF8.dat;50;30;20;2.0;0;4;3;120;898363.194957333;77.392546661
instances/N50T30/N50T30P1W20DD_SF9.dat;50;30;20;2.0;0;4;3;120;1.0424999145960002e6;80.44868266700001
instances/N50T30/N50T30P1W20DD_SF10.dat;50;30;20;2.0;0;4;3;120;1.0207760570293335e6;82.40893422299999
instances/N100T15/N100T15P1W5DD_SF6.dat;100;15;5;2.0;0;4;3;120;436731.6304506656;15.805381247
instances/N100T15/N100T15P1W5DD_SF7.dat;100;15;5;2.0;0;4;3;120;446662.48740099854;8.473939933999999
instances/N100T15/N100T15P1W5DD_SF8.dat;100;15;5;2.0;0;4;3;120;407261.5400296657;8.964640644
instances/N100T15/N100T15P1W5DD_SF9.dat;100;15;5;2.0;0;4;3;120;497726.99237166543;12.832966619
instances/N100T15/N100T15P1W5DD_SF10.dat;100;15;5;2.0;0;4;3;120;450511.1045989989;21.09283502
instances/N100T15/N100T15P1W10DD_SF6.dat;100;15;10;2.0;0;4;3;120;469683.91887499904;45.565799217
instances/N100T15/N100T15P1W10DD_SF7.dat;100;15;10;2.0;0;4;3;120;535212.6985883324;47.939208019
instances/N100T15/N100T15P1W10DD_SF8.dat;100;15;10;2.0;0;4;3;120;533855.1582909996;43.21527519
instances/N100T15/N100T15P1W10DD_SF9.dat;100;15;10;2.0;0;4;3;120;500558.48573966464;21.896514230999998
instances/N100T15/N100T15P1W10DD_SF10.dat;100;15;10;2.0;0;4;3;120;536584.4278209991;36.900634724999996
instances/N100T15/N100T15P1W15DD_SF6.dat;100;15;15;2.0;0;4;3;120;560816.3213709993;46.901457442
instances/N100T15/N100T15P1W15DD_SF7.dat;100;15;15;2.0;0;4;3;120;494744.0680766665;48.683722851999995
instances/N100T15/N100T15P1W15DD_SF8.dat;100;15;15;2.0;0;4;3;120;475631.08854399965;48.351831794
