instance;form;bestbound;bestsol;gap;time;numnodes;disablesolver
instances/N100T15/N100T15P1W5SD_SF1.dat;mc;262412.31716700003;262412.3171670002;6.654526914956948e-14;8.349994897842407;1;0 
instances/N100T15/N100T15P1W5SD_SF2.dat;mc;257555.87621599983;257555.87621599983;0.0;4.556632995605469;1;0 
instances/N100T15/N100T15P1W5SD_SF3.dat;mc;254322.08571800013;254322.08571800025;4.577475900225965e-14;4.740916013717651;1;0 
instances/N100T15/N100T15P1W5SD_SF4.dat;mc;251512.82015200012;251512.82015200012;0.0;4.8494861125946045;1;0 
instances/N100T15/N100T15P1W5SD_SF5.dat;mc;255490.53552099993;255490.53552099993;0.0;4.135804891586304;1;0 
instances/N100T15/N100T15P1W5SD_DF1.dat;mc;227127.86786531625;227127.86787186487;2.88323218484736e-9;2.7788820266723633;1;0 
instances/N100T15/N100T15P1W5SD_DF2.dat;mc;229352.9129499999;229352.9129499999;0.0;1.956083059310913;0;0 
instances/N100T15/N100T15P1W5SD_DF3.dat;mc;249138.55943999998;249138.55943999998;0.0;1.9989540576934814;0;0 
instances/N100T15/N100T15P1W5SD_DF4.dat;mc;228227.3450729999;228227.3450729999;0.0;1.923896074295044;0;0 
instances/N100T15/N100T15P1W5SD_DF5.dat;mc;240427.059196;240427.059196;0.0;1.986698865890503;0;0 
instances/N100T15/N100T15P1W5DD_SF1.dat;mc;253610.7856819998;253610.785682;6.885471462533152e-14;3.4165139198303223;1;0 
instances/N100T15/N100T15P1W5DD_SF2.dat;mc;224369.23259599978;224369.23259599996;7.782839951805201e-14;3.9531490802764893;1;0 
instances/N100T15/N100T15P1W5DD_SF3.dat;mc;249331.4258739999;249331.42587399995;2.3345497146790773e-14;4.120898962020874;1;0 
instances/N100T15/N100T15P1W5DD_SF4.dat;mc;243046.0604719997;243046.06047199998;1.1974615182082574e-13;8.12345004081726;1;0 
instances/N100T15/N100T15P1W5DD_SF5.dat;mc;241477.36840699986;241477.36840700003;7.231443008194559e-14;6.778191089630127;1;0 
instances/N100T15/N100T15P1W5DD_DF1.dat;mc;237495.90997300006;237495.90997300006;0.0;2.0687379837036133;0;0 
instances/N100T15/N100T15P1W5DD_DF2.dat;mc;238998.6090049998;238998.60900499998;7.306443475440855e-14;2.1843791007995605;0;0 
instances/N100T15/N100T15P1W5DD_DF3.dat;mc;234928.573477;234928.573477;0.0;1.9662549495697021;0;0 
instances/N100T15/N100T15P1W5DD_DF4.dat;mc;250734.34677299985;250734.34677299988;1.1607436648112115e-14;2.0196518898010254;0;0 
