instance;form;heursol;bestbound;bestsol;gap;time;numnodes;percfixed
instances/N200T15/N200T15P1W5SD_SF1.dat;randdpheurmc;453478.5405729999;420645.3482970004;420645.3482970004;0.0;31.402423858642578;15;47.64285714285714 
instances/N200T15/N200T15P1W5SD_SF2.dat;randdpheurmc;439913.65215600014;407315.15922599984;407315.15922600025;1.0003399509326751e-13;21.957646131515503;1;45.371428571428574 
instances/N200T15/N200T15P1W5SD_SF3.dat;randdpheurmc;442638.99580299965;406324.4230259969;406324.4230259998;7.16270763150051e-13;28.228591918945312;5;48.86190476190476 
instances/N200T15/N200T15P1W5SD_SF4.dat;randdpheurmc;414699.27795399976;379656.87895100005;379656.87895100017;3.066329843636516e-14;25.803920030593872;11;46.2 
instances/N200T15/N200T15P1W5SD_SF5.dat;randdpheurmc;412308.8842150003;381081.4019950001;381081.4019950001;0.0;40.34710907936096;5;42.48571428571429 
instances/N200T15/N200T15P1W5SD_DF1.dat;randdpheurmc;404369.430012;377125.39331699966;377125.39331700007;1.0804194933958711e-13;4.41011905670166;0;57.32380952380952 
instances/N200T15/N200T15P1W5SD_DF2.dat;randdpheurmc;406301.6319060002;372435.21164799994;372435.21164799994;0.0;3.580198049545288;0;57.719047619047615 
instances/N200T15/N200T15P1W5SD_DF3.dat;randdpheurmc;404956.96474700025;378604.4965490003;378604.4965490003;0.0;4.007443904876709;0;60.26190476190476 
instances/N200T15/N200T15P1W5SD_DF4.dat;randdpheurmc;415464.65018500003;382711.61639799934;382711.6163979999;1.520927466516577e-13;5.070641040802002;0;56.56666666666666 
instances/N200T15/N200T15P1W5SD_DF5.dat;randdpheurmc;414978.8575559999;383938.0038950001;383938.0038950001;0.0;4.240308046340942;0;57.371428571428574 
instances/N200T15/N200T15P1W5DD_SF1.dat;randdpheurmc;421823.55958000006;389552.669416;389552.669416;0.0;25.877439975738525;5;53.261904761904766 
instances/N200T15/N200T15P1W5DD_SF2.dat;randdpheurmc;423795.2657679998;392510.96914699994;392510.96914699994;0.0;29.246449947357178;5;53.72857142857143 
instances/N200T15/N200T15P1W5DD_SF3.dat;randdpheurmc;438123.24189599993;401312.2013760001;401312.2013760001;0.0;20.17312002182007;1;52.76666666666666 
instances/N200T15/N200T15P1W5DD_SF4.dat;randdpheurmc;441973.68579799996;409828.7824440001;409828.7824440001;0.0;35.6308810710907;7;52.95238095238095 
instances/N200T15/N200T15P1W5DD_SF5.dat;randdpheurmc;431204.03404199996;400187.51312200015;400187.51312200015;0.0;23.025370121002197;5;55.2047619047619 
instances/N200T15/N200T15P1W5DD_DF1.dat;randdpheurmc;403273.27007800026;378127.83105599985;378127.83105599985;0.0;10.356850862503052;1;62.16666666666667 
instances/N200T15/N200T15P1W5DD_DF2.dat;randdpheurmc;409489.59144800005;382325.2677439996;382325.2677439996;0.0;11.390862941741943;3;62.96666666666667 
instances/N200T15/N200T15P1W5DD_DF3.dat;randdpheurmc;389935.4041500002;365416.1595860001;365416.1595860001;0.0;4.163207054138184;0;60.13333333333334 
instances/N200T15/N200T15P1W5DD_DF4.dat;randdpheurmc;391992.6532060001;365944.4742999996;365944.4743;1.113430192309019e-13;4.407254934310913;0;61.45238095238095 
instances/N200T15/N200T15P1W5DD_DF5.dat;randdpheurmc;403481.2524440002;376180.45207600005;376180.45207600005;0.0;51.50260090827942;3;62.847619047619055 
instances/N200T15/N200T15P1W10SD_SF1.dat;randdpheurmc;512534.43540800025;464423.22781000036;464423.22781000036;0.0;4.912893056869507;0;49.871428571428574 
instances/N200T15/N200T15P1W10SD_SF2.dat;randdpheurmc;499610.06558000005;448500.1610100003;448500.1610100003;0.0;4.86073899269104;0;44.952380952380956 
instances/N200T15/N200T15P1W10SD_SF3.dat;randdpheurmc;471352.46439899993;423470.5477559975;423470.5477559999;5.635608214310226e-13;5.4489970207214355;0;47.24285714285714 
instances/N200T15/N200T15P1W10SD_SF4.dat;randdpheurmc;465441.266335;416729.45329799864;416729.4532980002;3.7712881396453044e-13;4.648695945739746;0;42.76190476190476 
instances/N200T15/N200T15P1W10SD_SF5.dat;randdpheurmc;478005.88456599985;430335.09049200057;430335.0904920008;5.410449874949195e-14;5.56678581237793;0;44.952380952380956 
instances/N200T15/N200T15P1W10SD_DF1.dat;randdpheurmc;452772.46482300013;415483.74631599843;415483.7463159998;3.222210767281213e-13;4.164988994598389;0;57.34761904761905 
instances/N200T15/N200T15P1W10SD_DF2.dat;randdpheurmc;458144.23318900005;419805.940251;419805.940251;0.0;3.906153917312622;0;57.480952380952374 
instances/N200T15/N200T15P1W10SD_DF3.dat;randdpheurmc;456619.85165200004;422595.6646449998;422595.6646449998;0.0;4.6810150146484375;0;55.74761904761905 
instances/N200T15/N200T15P1W10SD_DF4.dat;randdpheurmc;460216.059206;422353.4826800001;422353.4826800001;0.0;4.378798961639404;0;56.93333333333334 
instances/N200T15/N200T15P1W10SD_DF5.dat;randdpheurmc;475280.49727399985;431912.1576579979;431912.1576579999;4.582090214336979e-13;3.853557825088501;0;59.423809523809524 
instances/N200T15/N200T15P1W10DD_SF1.dat;randdpheurmc;463772.68226200005;419543.9818530001;419543.98185300024;2.774806143393195e-14;5.032674074172974;0;54.99523809523809 
instances/N200T15/N200T15P1W10DD_SF2.dat;randdpheurmc;477331.8548089999;430172.9991130001;430172.9991130001;0.0;4.381280183792114;0;53.542857142857144 
instances/N200T15/N200T15P1W10DD_SF3.dat;randdpheurmc;478574.5729070001;430692.8735799998;430692.8735799998;0.0;4.321919918060303;0;52.59047619047619 
instances/N200T15/N200T15P1W10DD_SF4.dat;randdpheurmc;503358.359582;458933.2256280002;458933.2256280002;0.0;4.966424942016602;0;52.58571428571429 
instances/N200T15/N200T15P1W10DD_SF5.dat;randdpheurmc;495454.0601340001;447711.1279709999;447711.1279709999;0.0;4.371874094009399;0;58.43809523809524 
instances/N200T15/N200T15P1W10DD_DF1.dat;randdpheurmc;469319.4631569999;432587.9343619996;432587.9343620001;1.0764546357367022e-13;4.140023946762085;0;56.233333333333334 
instances/N200T15/N200T15P1W10DD_DF2.dat;randdpheurmc;472867.2934300001;439189.40670099994;439189.40670099994;0.0;4.660382986068726;0;60.4 
instances/N200T15/N200T15P1W10DD_DF3.dat;randdpheurmc;458054.84326700005;420060.1149639995;420060.11496399995;1.1085586817678404e-13;4.120593070983887;0;59.46190476190476 
instances/N200T15/N200T15P1W10DD_DF4.dat;randdpheurmc;457914.91831000004;424752.85847799963;424752.858478;8.222333493698986e-14;3.863614082336426;0;63.17619047619048 
instances/N200T15/N200T15P1W10DD_DF5.dat;randdpheurmc;458081.105415;426279.02233000007;426279.02233000007;0.0;9.979827880859375;1;66.9095238095238 
instances/N200T15/N200T15P1W15SD_SF1.dat;randdpheurmc;512114.7752429999;456177.16342199815;456177.1634219999;3.827964149508777e-13;4.992891073226929;0;42.095238095238095 
instances/N200T15/N200T15P1W15SD_SF2.dat;randdpheurmc;544625.8430680002;495007.8216300006;495007.8216300006;0.0;5.199509143829346;0;44.87619047619047 
instances/N200T15/N200T15P1W15SD_SF3.dat;randdpheurmc;538772.758011;483483.09031799994;483483.09031799994;0.0;5.546396970748901;0;50.3 
instances/N200T15/N200T15P1W15SD_SF4.dat;randdpheurmc;535146.8869160002;483322.6569819995;483322.6569819995;0.0;4.9011900424957275;0;43.180952380952384 
instances/N200T15/N200T15P1W15SD_SF5.dat;randdpheurmc;521067.1402510002;468302.5473899997;468302.54738999985;3.728849730022441e-14;4.857838869094849;0;39.800000000000004 
instances/N200T15/N200T15P1W15SD_DF1.dat;randdpheurmc;524758.7126689998;481784.99284799997;481784.99284799997;0.0;4.158467054367065;0;60.43333333333333 
instances/N200T15/N200T15P1W15SD_DF2.dat;randdpheurmc;505265.5496259999;468302.25029699947;468302.25029700005;1.24295069854035e-13;4.540307998657227;0;58.9952380952381 
instances/N200T15/N200T15P1W15SD_DF3.dat;randdpheurmc;507215.92704599985;468201.1147110001;468201.1147110001;0.0;49.90103602409363;5;55.50000000000001 
instances/N200T15/N200T15P1W15SD_DF4.dat;randdpheurmc;512637.7707680003;468530.6241260001;468530.6241260001;0.0;4.584748983383179;0;56.61904761904763 
instances/N200T15/N200T15P1W15SD_DF5.dat;randdpheurmc;504942.6723170001;467938.5471300001;467938.54713000025;3.731750329427111e-14;4.698105096817017;0;56.92857142857143 
instances/N200T15/N200T15P1W15DD_SF1.dat;randdpheurmc;521774.525917;471855.770045;471855.770045;0.0;4.963310956954956;0;52.95238095238095 
instances/N200T15/N200T15P1W15DD_SF2.dat;randdpheurmc;504216.0687970001;467273.1185470001;467273.1185470001;0.0;4.6946001052856445;0;54.06666666666666 
instances/N200T15/N200T15P1W15DD_SF3.dat;randdpheurmc;530673.1192830002;487900.6305989998;487900.6305990004;1.1930228670130081e-13;4.965704917907715;0;53.166666666666664 
instances/N200T15/N200T15P1W15DD_SF4.dat;randdpheurmc;502454.5902369999;460126.4579899999;460126.4579899999;0.0;4.89360499382019;0;56.93333333333334 
instances/N200T15/N200T15P1W15DD_SF5.dat;randdpheurmc;508625.24861999997;465301.406599;465301.406599;0.0;5.413372993469238;0;53.49047619047619 
instances/N200T15/N200T15P1W15DD_DF1.dat;randdpheurmc;499568.4369600001;462893.22561900003;462893.22561900003;0.0;4.227097988128662;0;64.06190476190477 
instances/N200T15/N200T15P1W15DD_DF2.dat;randdpheurmc;525183.8640179998;485776.72053800005;485776.72053800005;0.0;6.5309998989105225;0;60.81428571428571 
instances/N200T15/N200T15P1W15DD_DF3.dat;randdpheurmc;505032.79919599975;466684.4661719998;466684.4661719998;0.0;4.072456121444702;0;62.31428571428571 
instances/N200T15/N200T15P1W15DD_DF4.dat;randdpheurmc;509021.09007699986;465536.39169299975;465536.3916929998;1.2503353540586947e-14;4.3883819580078125;0;62.79523809523809 
instances/N200T15/N200T15P1W15DD_DF5.dat;randdpheurmc;495218.77350499993;460496.50716099923;460496.50716099987;1.3904215560624953e-13;4.554918050765991;0;63.03809523809524 
instances/N200T15/N200T15P1W20SD_SF1.dat;randdpheurmc;624537.3498899997;567386.4357939984;567386.4357939998;2.46213827788865e-13;16.391889095306396;1;46.96666666666667 
instances/N200T15/N200T15P1W20SD_SF2.dat;randdpheurmc;554388.2901670003;505967.5553880001;505967.5553880001;0.0;22.673641204833984;1;46.75714285714286 
instances/N200T15/N200T15P1W20SD_SF3.dat;randdpheurmc;598425.6265740001;548291.3266390003;548291.3266390003;0.0;15.522205114364624;1;48.45238095238095 
instances/N200T15/N200T15P1W20SD_SF4.dat;randdpheurmc;568511.446694;518791.33084200043;518791.3308420009;8.975887984711863e-14;20.361823081970215;1;46.890476190476186 
instances/N200T15/N200T15P1W20SD_SF5.dat;randdpheurmc;610576.140039;559594.3198299996;559594.3198299999;6.241056299265197e-14;16.11670184135437;1;46.67619047619048 
instances/N200T15/N200T15P1W20SD_DF1.dat;randdpheurmc;534145.5021900001;502160.0913180001;502160.0913180001;0.0;14.080245971679688;1;53.98571428571428 
instances/N200T15/N200T15P1W20SD_DF2.dat;randdpheurmc;562807.7526449998;520165.998699;520165.998699;0.0;15.764482021331787;1;55.08095238095238 
