instance,form_x,cap,capw,capr,T,W,R,bestbound,bestsol,gap,time,nodes,opt,form_y,bal,fixsizerf,freeintervalrf,maxtimerf,bestsolrf,timerf,fixsizefo,freeintervalfo,minroundsfo,maxtimefo,incfixfo,inchorfo,bestsolfo,timefo,rounds,gap_rffo,impr_fo_rf,impr_rffo_esls,dif,#inst<=,#inst<
instances/N100T15/N100T15P1W20DD_SF3.dat,esls,1.75,0.0,1.75,15.0,20.0,100.0,687938.4599072501,688762.8906226665,0.1196973191559449,600.0121688842773,57921.0,0.0,rffoesls,1.0,3.0,2.0,60.0,690603.1594933333,46.645734195,3.0,2.0,2.0,600.0,0.0,1.0,688890.7468830001,600.0079666870001,12.0,0.13823483332571684,0.24795898871784855,-0.018563174943715278,-127.85626033367589,0.0,0.0
instances/N100T15/N100T15P1W20DD_SF4.dat,esls,1.75,0.0,1.75,15.0,20.0,100.0,713166.3161080838,713542.9469099999,0.0527832001629507,600.0291438102722,73093.0,0.0,rffoesls,1.0,3.0,2.0,60.0,716111.2369196668,48.887939968000005,3.0,2.0,2.0,600.0,0.0,1.0,714023.1952486665,600.0057678039999,13.0,0.12000718552066317,0.2915806320791669,-0.06730475590099078,-480.2483386665117,0.0,0.0
instances/N100T15/N100T15P1W20DD_SF5.dat,esls,1.75,0.0,1.75,15.0,20.0,100.0,638541.7677594656,638945.3900789998,0.0631700808553112,600.0154509544373,47105.0,0.0,rffoesls,1.0,3.0,2.0,60.0,639849.6366879996,47.447424452,3.0,2.0,2.0,600.0,0.0,1.0,638823.9837459989,600.0077411929999,14.0,0.04417742503630459,0.16029593254278574,0.01900104999362372,121.40633300086483,1.0,1.0
instances/N100T30/N100T30P1W20DD_SF1.dat,esls,1.75,0.0,1.5,30.0,20.0,100.0,1263213.1872138225,1302083.2803329993,2.9852232730640904,600.0351428985596,1858.0,0.0,rffoesls,1.0,3.0,2.0,60.0,1376984.44147,63.330829599000005,3.0,2.0,2.0,600.0,0.0,1.0,1301454.2836879997,600.0195834110001,9.0,2.938335748975476,5.485185998279547,0.048306944302267465,628.9966449995991,1.0,1.0
instances/N100T30/N100T30P1W20DD_SF2.dat,esls,1.75,0.0,1.5,30.0,20.0,100.0,1107426.030627143,1138821.99870833,2.756881068050719,600.010311126709,2174.0,0.0,rffoesls,1.0,3.0,2.0,60.0,1166919.9934906666,63.457704936000006,3.0,2.0,2.0,600.0,0.0,1.0,1139433.0045753336,600.0103693660002,9.0,2.8090264034540096,2.3555161509496334,-0.05365244679998066,-611.0058670034632,0.0,0.0
instances/N100T30/N100T30P1W20DD_SF3.dat,esls,1.75,0.0,1.5,30.0,20.0,100.0,1296717.9611669094,1340157.3978379983,3.241368270709646,600.0078270435333,1268.0,0.0,rffoesls,1.0,3.0,2.0,60.0,1360965.3315613335,63.861314699,3.0,2.0,2.0,600.0,0.0,1.0,1336776.8104193327,600.0121326539997,9.0,2.9966744590562753,1.7773061944385549,0.252253013274363,3380.587418665644,1.0,1.0
instances/N100T30/N100T30P1W20DD_SF4.dat,esls,1.75,0.0,1.5,30.0,20.0,100.0,1282313.164349461,1321658.7915919975,2.9769882735878404,600.0082371234894,2192.0,0.0,rffoesls,1.0,3.0,2.0,60.0,1343284.25452,65.05075188600001,3.0,2.0,2.0,600.0,0.0,1.0,1322109.5827020006,600.0140734370001,8.0,3.0100695791953607,1.5763358906909652,-0.03410797952322748,-450.79111000313424,0.0,0.0
instances/N100T30/N100T30P1W20DD_SF5.dat,esls,1.75,0.0,1.5,30.0,20.0,100.0,1303195.201865749,1343126.284837998,2.972995422918503,600.0175008773804,2298.0,0.0,rffoesls,1.0,3.0,2.0,60.0,1376996.9773389995,63.43610464399999,3.0,2.0,2.0,600.0,0.0,1.0,1344958.442326,600.014192305,9.0,3.1051695833831676,2.3266961032051747,-0.13640991980310793,-1832.1574880019762,0.0,0.0
instances/N100T15/N100T15P1W15DD_SF1.dat,esls,1.75,0.0,1.5,15.0,15.0,100.0,651148.9109226667,651148.9109226667,0.0,115.0965220928192,7992.0,1.0,rffoesls,1.0,3.0,2.0,60.0,652829.4114929965,42.335448499,3.0,2.0,2.0,600.0,0.0,1.0,651148.9109226665,600.008002132,16.0,-1.787844836628481e-14,0.2574180238734514,1.7878448366284808e-14,1.1641532182693481e-10,1.0,0.0
instances/N100T15/N100T15P1W15DD_SF2.dat,esls,1.75,0.0,1.5,15.0,15.0,100.0,563289.8022473638,563807.586556,0.0918370594831971,600.0153820514679,96847.0,0.0,rffoesls,1.0,3.0,2.0,60.0,565375.184256,39.420713329,3.0,2.0,2.0,600.0,0.0,1.0,563979.2212599998,600.007623516,13.0,0.12224191719256933,0.24690913836927514,-0.030442070680204818,-171.63470399973448,0.0,0.0
