instance;NR;NT;NW;capacity;balanced;fixsizerf;freeintervalrf;maxtimerf;bestsol;elapsedtime
instances/N50T15/N50T15P1W5DD_SF6.dat;50;15;5;1.5;1;4;2;120;511079.97757399984;6.523648250999999
instances/N50T15/N50T15P1W5DD_SF7.dat;50;15;5;1.5;1;4;2;120;538962.736481;5.98625244
instances/N50T15/N50T15P1W5DD_SF8.dat;50;15;5;1.5;1;4;2;120;557538.616722;4.163974786
instances/N50T15/N50T15P1W5DD_SF9.dat;50;15;5;1.5;1;4;2;120;423467.7638819999;3.689298086
instances/N50T15/N50T15P1W5DD_SF10.dat;50;15;5;1.5;1;4;2;120;549663.5926719997;4.9353134149999995
instances/N50T15/N50T15P1W10DD_SF6.dat;50;15;10;1.5;1;4;2;120;535431.8547559998;17.199760480000002
instances/N50T15/N50T15P1W10DD_SF7.dat;50;15;10;1.5;1;4;2;120;510024.59969599976;30.748502572
instances/N50T15/N50T15P1W10DD_SF8.dat;50;15;10;1.5;1;4;2;120;538411.581672;21.320363232
instances/N50T15/N50T15P1W10DD_SF9.dat;50;15;10;1.5;1;4;2;120;507830.7806209997;32.361576989
instances/N50T15/N50T15P1W10DD_SF10.dat;50;15;10;1.5;1;4;2;120;575895.8346450003;21.678423453
instances/N50T15/N50T15P1W15DD_SF6.dat;50;15;15;1.5;1;4;2;120;575727.3734674422;33.805046423
instances/N50T15/N50T15P1W15DD_SF7.dat;50;15;15;1.5;1;4;2;120;545383.819742;30.854915416999997
instances/N50T15/N50T15P1W15DD_SF8.dat;50;15;15;1.5;1;4;2;120;566219.2892779999;35.143994225
instances/N50T15/N50T15P1W15DD_SF9.dat;50;15;15;1.5;1;4;2;120;545371.4292249999;19.283630919
instances/N50T15/N50T15P1W15DD_SF10.dat;50;15;15;1.5;1;4;2;120;562676.7874050001;33.07812207799999
instances/N50T15/N50T15P1W20DD_SF6.dat;50;15;20;1.5;1;4;2;120;599659.3916149999;59.94069132
instances/N50T15/N50T15P1W20DD_SF7.dat;50;15;20;1.5;1;4;2;120;629301.4215359999;46.315489069
instances/N50T15/N50T15P1W20DD_SF8.dat;50;15;20;1.5;1;4;2;120;626595.403656;39.357684185
instances/N50T15/N50T15P1W20DD_SF9.dat;50;15;20;1.5;1;4;2;120;567833.3905719998;50.807070496
instances/N50T15/N50T15P1W20DD_SF10.dat;50;15;20;1.5;1;4;2;120;669810.3540970001;50.517449481
instances/N50T30/N50T30P1W5DD_SF6.dat;50;30;5;1.5;1;4;2;120;898179.0062079998;13.934921207999999
instances/N50T30/N50T30P1W5DD_SF7.dat;50;30;5;1.5;1;4;2;120;902953.3085899998;20.219699739000003
instances/N50T30/N50T30P1W5DD_SF8.dat;50;30;5;1.5;1;4;2;120;879213.4504609997;29.35747062
instances/N50T30/N50T30P1W5DD_SF9.dat;50;30;5;1.5;1;4;2;120;1.1035401788819996e6;21.929407655
instances/N50T30/N50T30P1W5DD_SF10.dat;50;30;5;1.5;1;4;2;120;953952.8639679998;17.551168363000002
instances/N50T30/N50T30P1W10DD_SF6.dat;50;30;10;1.5;1;4;2;120;1.163705497389e6;73.72278285899999
instances/N50T30/N50T30P1W10DD_SF7.dat;50;30;10;1.5;1;4;2;120;1.151137187874e6;45.594882537000004
instances/N50T30/N50T30P1W10DD_SF8.dat;50;30;10;1.5;1;4;2;120;1.0656688818989994e6;78.473725877
instances/N50T30/N50T30P1W10DD_SF9.dat;50;30;10;1.5;1;4;2;120;1.2008940344799992e6;81.97679379499999
